Sample,Rawname,Condition,FW_mg,Rep,Species,Treatment,2-hydroxypyridine ,Pyruvic acid ,L-alanine,acetohydroxamic acid ,oxalic acid ,3-hydroxypyridine ,heptanoic acid ,L-mimosine,L-valine,benzoic acid ,ethanolamine ,L-leucine,glycerol ,phosphoric acid ,nicotinic acid ,L-Isoleucine,L-proline,maleic acid ,glycine ,succinic acid ,glyceric acid ,glyoxylic acid ,itaconic acid ,fumaric acid ,pelargonic acid (nonanoic acid) ,L-serine,beta-cyano-L-alanine ,L-threonine,benzoquinone ,Beta- alanine,capric acid ,L-homoserine,D-malic acid ,"5,6-dihydrouracil",aspartic acid,gamma-aminobutyric acid (GABA),threonic acid ,alpha ketoglutaric acid ,L-glutamine,Antiarol ,"benzene-1,2,4-triol ",L-glutamic acid,4-hydroxybenzoic acid ,lauric acid ,"1,3-diaminopropane",xylose,L-asparagine,ribose ,"1,6-anhydro-glucose ",trans-aconitic acid ,4-hydroxy-3-methoxybenzoic acid ,glycerol 1-phosphate ,shikimic acid ,"3,4-dihydroxybenzoic acid ",citric acid ,myristic acid ,dehydroascorbic acid,adenine,quinic acid ,fructose,D-glucose,L-lysine,allantoin,4-hydroxycinnamic acid ,D-mannose,tyrosine,D-mannitol ,sedoheptulose anhydride monohydrate ,pantothenic acid,palmitic acid ,D-saccharic acid ,"3,4 dihydroxyphenylalanine (DOPA)",ferulic acid ,myo-inositol ,caffeic acid ,elaidic acid ,stearic acid ,L-tryptophan,"3,5-dimethoxy-4-hydroxycinnamic acid",spermidine,D-glucose-6-phosphate,arachidic acid ,serotonin,arbutin ,eicosapentaenoic acid ,adenosine ,Sucrose ,lactose,maltose,Trehalose ,beta-gentiobiose,galactinol
Sor_Ndep1,181221_012.D,Sor_Ndep,54,1,Sorghum bicolor,N_dep,0.251575966,0.015335716,0.019508496,1.271900793,0.019445032,0.036418735,0.035607106,0.000920088,0.442939617,0.086381112,0.935319283,0.391359326,0.597805812,2.808638006,0.038721013,0.391393722,0.194913119,0.02100755,0.93129404,0.021011355,0.012265224,0.148263213,0.001018119,0.114579297,0.083288649,0.639556028,0.06421352,0.354966489,0.008016079,0.027222143,0.015625271,0.04352639,0.697925797,0.150585572,0.591639167,0.105451825,0.022898151,0.031546775,0.012817891,0.002169827,0.013932595,0.677085777,0.15816583,0.01913165,0.015378015,0.081264554,0.060809031,2.180246253,0.483444197,0.006836767,0.004277276,0.047078711,0.559198199,0.019559695,0.525273966,0.092490233,0.008561354,0.044588014,1.337784927,3.223492456,2.330784927,0.090087772,0.002973557,0.036899761,2.330481594,1.718414398,2.330433668,1.545280651,0.04129961,1.142599323,0.033366591,0.023741235,0.012377025,0.453353156,0.072962013,0.011766457,0.001726982,0.233632421,0.04719561,0.052341092,0.060180926,0.027417792,0.00101806,0.539128214,0.416886312,0.094001395,2.736975328,1.906343192,1.762929719,1.140206769,1.103511801,0.265116047
Sor_Ndep2,181221_013.D,Sor_Ndep,50,2,Sorghum bicolor,N_dep,0.211653976,0.01674381,0.020659378,0.955269472,0.020597817,0.028201701,0.022246532,0.000981679,0.465803322,0.08094167,0.861584183,0.378942034,0.534781447,2.816854103,0.032940725,0.378923735,0.592567704,0.019912826,0.861265569,0.019945873,0.010041038,0.120210058,0.000552867,0.115297888,0.070219404,0.702190174,0.061398322,0.409243813,0.007303587,0.02515725,0.01562959,0.05446505,0.861260048,0.143280879,0.811593088,0.134461628,0.030086913,0.042112647,0.02084471,0.001785628,0.014207595,0.884707079,0.086521485,0.015171077,0.016615075,0.11263473,0.073979663,1.736735995,0.534543689,0.010677468,0.007244374,0.054355494,0.652762559,0.009689683,0.484771897,0.08828223,0.013817833,0.048540988,1.33314131,2.513016528,2.162867045,0.130380187,0.001952315,0.043594717,2.16288664,1.728728181,2.16469136,1.532606191,0.046893669,1.10014246,0.033196014,0.013616906,0.014923813,0.541286837,0.050874086,0.009430608,-5.95E-05,0.241799666,0.038350773,0.055289008,0.081476939,0.025438362,0.000426894,2.05,1.805599211,0.102193186,2.507111806,1.809645011,1.828205992,1.138502847,1.10920048,0.232
Sor_Ndep3,181221_014.D,Sor_Ndep,50,3,Sorghum bicolor,N_dep,0.181786088,0.012574713,0.022132427,1.234868374,0.022074671,0.032679809,0.03064063,0.001124676,0.627685769,0.077869609,1.162735976,0.569316918,0.587107101,2.404999631,0.024817483,0.56877496,0.488049318,0.018472527,1.162416839,0.018558627,0.01093534,0.146514288,0.000917912,0.108214644,0.072757493,1.05774419,0.106191225,0.63901843,0.009889588,0.030370893,0.014494846,0.05959885,0.995973073,0.151596466,1.011066989,0.151663351,0.027541163,0.04534208,0.031256648,0.002266318,0.013892248,1.059735843,0.091462992,0.019451291,0.017965276,0.098518787,0.131463157,1.977483132,0.487602255,0.011040432,0.005901755,0.058200275,0.88545442,0.008619303,0.527826644,0.096573829,0.01162144,0.042941361,1.68731345,3.202653835,2.444140543,0.135782548,0.003964384,0.04631362,2.44418029,1.773508677,2.451317927,1.622692844,0.046995786,1.251371438,0.038583409,0.015641405,0.01550761,0.898190068,0.04138629,0.008456407,0.00159688,0.323877579,0.035865088,0.06532494,0.113499656,0.029694726,0.00111089,0.390556217,1.488129527,0.123629299,2.964214586,1.961747243,2.647713272,1.792052189,1.792204843,0.708404972
Sor_Ndep4,181221_015.D,Sor_Ndep,48,4,Sorghum bicolor,N_dep,0.146655855,0.011641533,0.019273487,1.029309565,0.019263009,0.026699886,0.024375059,0.001051229,0.612839876,0.081314528,0.916655285,0.286141511,0.713458051,2.704142441,0.04026791,0.286549758,0.063212391,0.021459681,0.916799093,0.021515717,0.01118276,0.134223884,0.000902482,0.122855865,0.079085532,0.39796904,0.061474537,0.214890891,0.009472409,0.026087218,0.015676629,0.067204144,0.976489532,0.137987809,0.832369756,0.170399398,0.020688587,0.053317303,0.024390375,0.002136302,0.012973119,0.965451573,0.092645724,0.019394755,0.016110767,0.092676152,0.138602751,1.719682396,0.532419605,0.009661772,0.004727793,0.079275579,1.130740456,0.008035899,0.591677495,0.104833699,0.00914185,0.043918085,1.954297061,2.489446503,2.079698819,0.160194748,0.004115398,0.055607433,2.07898882,1.449557302,2.079560177,1.442464688,0.042659757,1.147172707,0.072334417,0.012971172,0.015174729,0.710548011,0.031262374,0.007105352,0.000494111,0.294504316,0.027061035,0.07580577,0.096171648,0.028329925,0.000751219,2.457423517,1.146021841,0.115735956,3.045384493,1.901174743,2.381451619,1.853418381,1.861384228,0.704550784
Sor_Ndep5,181221_016.D,Sor_Ndep,45,5,Sorghum bicolor,N_dep,0.202751779,0.013738061,0.017724117,1.138131154,0.017694258,0.027315991,0.028916965,0.000725438,0.348705354,0.068170185,0.795994155,0.270455839,0.474543842,2.687680257,0.024912247,0.270474697,0.174497728,0.017805234,0.796017536,0.017803634,0.009707571,0.070062604,0.001016025,0.077490383,0.068892639,0.567209021,0.074314438,0.309807751,0.007924721,0.024437715,0.015492063,0.039012872,0.643735854,0.138255665,0.642692677,0.127962195,0.017795999,0.030955751,0.012759097,0.00115534,0.01194163,0.69751393,0.054785752,0.020624809,0.014339031,0.066210637,0.10268755,2.000417444,0.495818494,0.008959717,0.004172392,0.059517286,0.439232927,0.006699966,0.404088926,0.073351066,0.007399385,0.032488067,1.132950729,2.617842163,1.912779707,0.057973811,0.003591391,0.026791846,1.911928462,1.332841158,1.911400388,1.204890711,0.023896779,1.059834087,0.023908746,0.007719804,0.012338918,0.330764511,0.022848154,0.006161179,0.001126173,0.237811826,0.022905502,0.093108699,0.078899889,0.029135961,0.000483542,1.670713448,1.66382051,0.074278259,2.268546234,1.668526698,1.533161424,0.917973683,0.939391165,0.185230855
Sor_Pdep1,181221_017.D,Sor_Pdep,55,1,Sorghum bicolor,P_dep,0.269036526,0.013701156,0.013198373,1.178762653,0.013227029,0.028857074,0.029446355,0.000680378,1.074623806,0.069405545,0.948686972,0.466947657,0.410683364,1.713968717,0.02861869,0.466748457,0.616176006,0.006410856,0.949028747,0.006493939,0.01221593,0.123689628,0.000778871,0.143957654,0.069426744,1.376099311,0.154231211,0.926127902,0.007917642,0.144388464,0.018283817,0.047403229,1.302863791,0.228500632,1.452279615,0.491461831,0.042907877,0.044958879,0.059494146,0.002878492,0.013076003,1.520342698,0.072840439,0.01681531,0.02310062,0.099609152,0.242208828,1.994725423,0.481499292,0.007938924,0.00479042,0.035266228,0.258259828,0.007132269,0.654335399,0.110203136,0.020133939,0.038832882,0.862253298,3.336463142,2.448759865,0.103527045,0.017914276,0.065934427,2.426163406,1.790123149,2.426156195,1.651123106,0.046604184,1.136250193,0.04299938,0.009826799,0.013773947,0.506255273,0.025915598,0.005082605,-0.000780672,0.165579294,0.020496717,0.069058003,0.024703138,0.029468087,0.003757922,0.350342965,0.578829107,0.127391454,2.598670524,1.007193261,1.862261663,1.021885981,1.019099948,0.284183587
Sor_Pdep2,181221_018.D,Sor_Pdep,49,2,Sorghum bicolor,P_dep,0.249370898,0.013368054,0.014540027,1.104077989,0.014534166,0.030245767,0.026573886,0.000516655,0.851831283,0.06830867,0.864110117,0.431286514,0.349452241,1.614706394,0.023920447,0.431253107,0.829313882,0.004334427,0.864161812,0.004347374,0.010533173,0.113124879,0.001308224,0.132646863,0.061039678,1.118987784,0.129968524,0.725628638,0.007370859,0.110499354,0.018986601,0.077471152,1.117043633,0.180127795,1.393154732,0.434326533,0.033232673,0.037327756,0.050547256,0.002806256,0.012239662,1.389583851,0.071290886,0.017845142,0.024646565,0.079397678,0.183468009,1.946392819,0.487782899,0.00816489,0.004937896,0.03525285,0.230212765,0.006750336,0.58118673,0.097923518,0.017236722,0.039483715,0.752430754,2.818580392,2.106754786,0.083893257,0.014840941,0.055429138,2.106677661,1.508451017,2.106224267,1.376090156,0.034892493,1.094071443,0.034762219,0.008417888,0.012795891,0.389890203,0.021208212,0.004788348,0.000230757,0.165191597,0.019330823,0.071014203,0.022495383,0.025177859,0.003182113,1.827125027,1.783596882,0.09975575,2.345499646,1.768734747,1.76476393,0.971947948,0.974099024,0.208153772
Sor_Pdep3,181221_019.D,Sor_Pdep,48,3,Sorghum bicolor,P_dep,0.193919191,0.012059307,0.01345415,1.105100557,0.013514631,0.031507738,0.026436084,0.000488616,0.80840524,0.068021694,0.730045858,0.346482027,0.361761575,1.470832935,0.020521641,0.346223902,0.523070925,0.00438565,0.730196695,0.004401667,0.009747429,0.098517242,0.000598842,0.10789976,0.064512429,1.036228779,0.108494061,0.605554591,0.008802551,0.090399377,0.012757551,0.057301182,0.882913962,0.148097231,1.220365917,0.320656888,0.030671823,0.031782237,0.034152754,0.002431787,0.011905291,1.257205371,0.065127918,0.0163171,0.014110543,0.059686496,0.12955617,1.963375961,0.491117619,0.007235874,0.003891499,0.029113034,0.177256543,0.007712298,0.514106622,0.088900924,0.015288873,0.030700883,0.618032206,2.830191527,2.088464846,0.074091172,0.011588483,0.052384252,2.088501204,1.491878073,2.087189845,1.35416697,0.030251957,1.098907539,0.032300448,0.007932184,0.011459324,0.375139925,0.019678563,0.004578944,0.002150865,0.183817709,0.018313215,0.06471056,0.019980344,0.030457665,0.012530691,0.502337502,1.919937874,0.095639242,2.429800308,1.930136506,1.517372028,0.891180302,0.891055394,0.188144456
Sor_Pdep4,181221_020.D,Sor_Pdep,53,4,Sorghum bicolor,P_dep,0.222095345,0.013484503,0.013609841,0.629707526,0.013657304,0.03045966,0.013361623,0.00081197,1.093432707,0.071112114,0.872135048,0.505021368,0.376830107,1.644595907,0.036102978,0.50472402,0.671189276,0.005030234,0.872043301,0.005042007,0.01013508,0.125369862,0.001010046,0.141690371,0.065890547,1.171469207,0.169756962,0.901084945,0.007372712,0.124794068,0.018358409,0.087193137,1.168236393,0.234576579,1.304428651,0.379320637,0.036453537,0.038078005,0.05238466,0.004392797,0.014401789,1.378656853,0.07473705,0.026640998,0.021571489,0.080305604,0.226056383,1.821904404,0.51086879,0.008130291,0.004149448,0.027611136,0.244519612,0.007025424,0.561613801,0.096606326,0.017097885,0.033239331,0.833615562,2.8604848,2.123819933,0.095131035,0.015004841,0.068840722,2.123925519,1.599218991,2.123863409,1.383354343,0.036798099,1.151980423,0.038414624,0.009372209,0.013808467,0.429553841,0.018471169,0.004865855,0.002382931,0.197534761,0.019262531,0.102946969,0.024256311,0.033345711,0.002863683,1.881814519,1.917907746,0.11008578,2.496520875,1.740645719,1.628661818,0.915654613,0.958158757,0.309592672
Sor_Pdep5,181221_021.D,Sor_Pdep,47,5,Sorghum bicolor,P_dep,0.241343359,0.013572021,0.013366273,0.79269448,0.013338834,0.025198215,0.016436488,0.000645369,0.722645083,0.077387976,0.549907709,0.201847688,0.467726868,1.602704747,0.032281806,0.201873296,0.0922323,0.005406347,0.549736484,0.005451917,0.011091855,0.144614141,0.001375821,0.143652915,0.088040347,0.664526901,0.095823251,0.377183959,0.007526438,0.108328102,0.016367173,0.077349502,1.049495041,0.186040967,1.150246843,0.316412833,0.03675961,0.039180508,0.042239546,0.003022995,0.014326032,1.189614063,0.07005367,0.024880337,0.018824217,0.075243015,0.187134284,1.699245715,0.534213568,0.006667053,0.004688423,0.032183258,0.217201569,0.00757016,0.608341187,0.106956897,0.015556475,0.031069307,0.734461554,2.645188522,2.040923571,0.121714377,0.012669283,0.053403183,2.039156432,1.526839862,2.03805894,1.387273564,0.03889029,1.162024427,0.034492291,0.009144861,0.013705811,0.401321761,0.016619153,0.005263243,0.00331047,0.233084402,0.018317489,0.134890839,0.023959966,0.039247672,0.001351105,2.007720511,2.040116853,0.113434654,2.469734787,0.867154457,1.675223524,0.907245887,0.907232117,0.198814959
