	FoldChange	log2(FC)_Maize	p.value	-log10	fdr
1,3-diaminopropane	0.362555808019084	-1.46372500940028	7.70802017160741E-06	5.11305715748229	6.44670777988983E-05
1,6-anhydro-glucose 	1.01782053230686	0.025483199943671	0.709237811421945	0.149208119018435	0.805554057417518
2-hydroxypyridine	1.13317478926928	0.180370410287188	0.348230024583394	0.458133786496297	0.500580660338629
3-hydroxypyridine	0.922807092191144	-0.115899003057977	0.307518207738708	0.512129165136215	0.452813378364248
3,4 dihydroxyphenylalanine (DOPA)	1.47759685692828	0.563252702605965	0.03781546688871	1.4223305332174	0.071000468444109
3,4-dihydroxybenzoic acid 	0.824137131578351	-0.279043681523171	0.206321450863735	0.685455616876813	0.333010061043222
3,5-dimethoxy-4-hydroxycinnamic acid	2.34591366115701	1.23014991749569	4.25381451540731E-07	6.37122145112613	1.12298879184631E-05
4-hydroxy-3-methoxybenzoic acid	0.947971339773283	-0.077084652422046	0.595110473174112	0.225402406647151	0.737964725570769
4-hydroxybenzoic acid	1.27076519087473	0.34569747703357	0.043744221782009	1.35907930524554	0.078911145175388
4-hydroxycinnamic acid	0.92001062722421	-0.120277568766499	0.381585294050495	0.418408370959003	0.540089954656085
5,6-dihydrouracil	0.513446593514249	-0.961713873415306	0.004603021882251	2.33695696051374	0.011763278143531
acetohydroxamic acid	1.56076489002514	0.642253229474018	0.021357771140549	1.67044407148744	0.042715542281099
adenine	0.602594916128538	-0.730739593390575	0.015204416692125	1.81803023663467	0.034117227699402
adenosine	0.450588543625153	-1.15011746188502	0.001520365271932	2.81805205907709	0.005594944200711
allantoin	0.033151219980357	-4.91479422660954	2.07493800433077E-09	8.68299487474913	1.90894296398431E-07
alpha ketoglutaric acid	1.09112625194146	0.125818042552217	0.518603561615313	0.285164504950844	0.682530200318684
Antiarol	0.425472528907351	-1.2328621091302	0.001762984257262	2.75375156575788	0.006007205617337
arachidic acid	1.09347199670842	0.128916274133415	0.437204713129903	0.35931516493991	0.591512258940456
arbutin	1.06988071149238	0.097449949400091	0.868458273286262	0.061251043212118	0.918369668302714
aspartic acid	0.234530628800423	-2.09215174940488	2.20398673081245E-06	5.65679102449914	3.3794463205791E-05
benzene-1,2,4-triol 	1.01347462002357	0.019309960512155	0.88892075665644	0.051136952731429	0.929326245595369
