	FoldChange	log2(FC)	p.value	-log10	fdr
serotonin	0.10790559055416601	-3.21215848255602	0.0489521800211912	1.3102279626945101	0.10235455822612699
L-glutamine	0.115678558557937	-3.1118066144417202	0.0033890165271652397	2.4699263132401805	0.0119919046345847
capric acid	0.217308676306435	-2.2021823179089903	0.004310222640614971	2.3655002961749503	0.0141621601048778
D-glucose-6-phosphate	0.23120020971834102	-2.11278538840053	0.000197458563057468	3.70452402775186	0.00139739906163746
Beta- alanine	0.23421741527796802	-2.09407974321112	0.0004996595242933179	3.3013258298410397	0.00270403977852854
L-asparagine	0.327815905740044	-1.6090422386941299	0.00135823430923863	2.86702530337537	0.00595035983095018
beta-cyano-L-alanine	0.34494544630319	-1.53555987957955	0.00358400916245588	2.44563088874235	0.0122121793683682
gamma-aminobutyric acid (GABA)	0.35684399045727605	-1.48663461835521	3.6623550361589605e-07	6.43623955660158	1.57603494251735e-05
adenosine	0.361968136672019	-1.46606538953603	0.000426770759200379	3.36980534452629	0.00245393186540218
myristic acid	0.43546628530661896	-1.1993670681500301	5.63408702748749e-08	7.24917644892538	5.183360065288491e-06
Antiarol	0.442591119273557	-1.1759535915761299	0.000150441377068977	3.8226326999058395	0.0011533838908621599
glycerol 1-phosphate	2.09762420417622	1.06875623781358	5.13924437777395e-07	6.28910073055469	1.57603494251735e-05
1,3-diaminopropane	0.508766255165919	-0.9749251104271591	5.07860296545275e-05	4.29425573807767	0.000467231472821653
5,6-dihydrouracil	0.543702195894577	-0.8791114400089929	0.0046778877681483795	2.32995020199214	0.0143455224889884
L-threonine	0.55622377657935	-0.846262678825641	0.00241593304419755	2.6169151060353704	0.009506343454460279
glyceric acid	0.58491816361869	-0.7736933047218799	0.0006727755662965139	3.17212978952775	0.00343863067218218
maleic acid	0.5880231161945739	-0.7660552239009741	0.00035996865453900005	3.44373531521447	0.0022078077478392
succinic acid	0.58845985295391	-0.764984102597338	0.000339609573366441	3.4690200757849197	0.0022078077478392
L-proline	0.6053326968744229	-0.724199814969966	0.45171854185891097	0.345132082425683	0.585325434521406
xylose	0.653657572761431	-0.613393036312842	0.0511670811163875	1.29100935713777	0.10460825472683699
phosphoric acid	0.654603587070791	-0.611306586859921	1.66450818998523e-05	4.778714063615371	0.000170149726087379
aspartic acid	0.657246649710773	-0.605493212107142	1.12043966241688e-05	4.950611525996361	0.000128850561177941
alpha ketoglutaric acid	0.6592181799669781	-0.601172065068692	0.00644997485762527	2.19044197826642	0.0185436777156727
L-serine	0.667892535402666	-0.5823121046340151	0.016866645438418003	1.7729712844796899	0.0397879841111398
allantoin	0.6698894316688371	-0.5780051031181159	0.0010055640585634699	2.9975902578424902	0.0048690470204126
shikimic acid	1.4878094718849497	0.573189787490241	2.85915294085475e-06	5.543762612885191	3.7577438651233896e-05
L-glutamic acid	0.672564860716802	-0.572254690084593	1.0826555790727501e-06	5.96550968178493	2.3471610745532e-05
galactinol	0.67297564337574	-0.5713738037470311	6.70468951429916e-05	4.1736213289755	0.000560755850286839
citric acid	0.681646503644922	-0.552904331669099	1.5307572225347e-06	5.815093682766269	2.3471610745532e-05
threonic acid	0.693909444323519	-0.5271806925299289	0.00109589124029112	2.96023254446949	0.00504109970533917
L-lysine	0.7048012928439928	-0.5047115242358651	0.0756969930047438	1.12092137211664	0.145085903259092
L-valine	0.706872679087824	-0.5004777126534921	0.00516871478203411	2.2866174322367	0.015339411611198001
stearic acid	0.7310192828559171	-0.452018632740166	0.0303280025383489	1.5181561922326698	0.0680530788665391
L-homoserine	0.7466732476125791	-0.4214510529165901	0.00186284987779557	2.72982214235119	0.0077900994889633
nicotinic acid	0.7473004301187421	-0.4202397422248211	0.127083896426985	0.8959094780532859	0.212576699477867
quinic acid	1.32584548760054	0.406912655344145	1.31968800853586e-06	5.879528729541531	2.3471610745532e-05
3,4 dihydroxyphenylalanine (DOPA)	1.30962768376315	0.3891567238746729	0.126237023447743	0.898813254276137	0.212576699477867
pantothenic acid	0.772824985937606	-0.371786356684747	0.07982459524705901	1.09786327488579	0.149874750259784
fumaric acid	0.77696576434315	-0.364077064723517	0.00323699763373034	2.48985761806985	0.0119121512921277
lactose	0.7801420116039219	-0.3581913288763429	0.351120685242289	0.454543584599132	0.482135866302844
pelargonic acid (nonanoic acid)	1.2779899408120001	0.35387648073110706	0.00452766030941225	2.34412616381664	0.0143455224889884
maltose	0.7846315268511559	-0.349912790165664	0.0137065372295337	1.86307224995555	0.0331842480293974
benzoquinone	1.22855481630592	0.296962230063445	0.0593129559861549	1.2268504314465902	0.11862591197231
acetohydroxamic acid	0.8145101346201921	-0.295995445153967	0.496971033819341	0.303668923578592	0.626319659059991
caffeic acid	1.21269573768062	0.278217627291568	0.566788641637944	0.24657886153571199	0.6861125661933001
adenine	1.2114883110646	0.276780485143787	0.6413551157519	0.19290143677326502	0.7284527240638872
dehydroascorbic acid	0.8291694013765679	-0.270261216858751	0.0213439747148968	1.67072470224946	0.0490911418442626
beta-gentiobiose	1.2043460872845502	0.268250032182124	0.121604277450534	0.915051148414509	0.211086670291492
Trehalose	1.20434376943033	0.268247255604824	0.121604254843851	0.91505122915146	0.211086670291492
D-malic acid	0.8387640525999109	-0.253663062550552	0.00247991568377225	2.60556308477658	0.009506343454460279
glycerol	0.8489891048073391	-0.236182055291946	0.0117822485060425	1.9287718215537801	0.030110190626553
heptanoic acid	0.8574161078515821	-0.22193257428098603	0.6714524362124961	0.172984746095884	0.7533368796530441
ethanolamine	0.861860992683524	-0.214472895338606	0.00740555283293475	2.13044251535598	0.0199453927402026
glycine	0.8623828575640871	-0.213599594386327	0.0075879211511640406	2.11987719067113	0.0199453927402026
D-mannitol	1.1573271698090501	0.210796763786815	0.39630220250860704	0.401973514002736	0.5284029366781429
