	FoldChange	log2(FC)	p.value	-log10	fdr
xylose	0.13344705006190802	-2.90566068081321	0.0408641146837716	1.38865790558203	0.117484329715843
allantoin	0.146596724747763	-2.77007522363217	0.000651470437668376	3.1861052868566797	0.00666412452884532
glyceric acid	0.231880980932923	-2.10854360107419	0.021451295704943002	1.66854647035516	0.0759045848021062
L-proline	0.27385950544897697	-1.86849213883676	0.110636637085388	0.9561010335265049	0.242346919329899
Trehalose	3.2153595934839903	1.6849800920557498	0.0204523647360878	1.6892564709103999	0.0759045848021062
4-hydroxy-3-methoxybenzoic acid	2.8379814490868394	1.5048651590257098	0.202593675707784	0.69337411597515	0.35662271489177705
maleic acid	2.69407275942677	1.4297888145146498	1.9992002869425198e-05	4.6991436945479	0.00045981606599678095
succinic acid	2.6882523556124402	1.42666857528249	1.8615744871084e-05	4.73011958168951	0.00045981606599678095
L-lysine	2.53571767694558	1.3423941268873603	1.61810103173847e-08	7.790994365197999	1.48865294919939e-06
1,3-diaminopropane	0.43113995566121993	-1.21377182519592	0.00936070581743775	2.02869140328523	0.0391447697820124
beta-gentiobiose	2.00619451905969	1.00446149532069	0.0305857088494718	1.5144814499104398	0.0930350893930754
glycerol 1-phosphate	1.9791110949709199	0.9848525985729342	0.0006519252256479121	3.18580221400854	0.00666412452884532
shikimic acid	1.96072470448935	0.9713869881823671	1.98689720693682e-05	4.70182460073865	0.00045981606599678095
quinic acid	1.9404604362213	0.9563990185141329	0.00012467910011271298	3.90420634095963	0.00191174620172827
threonic acid	0.518206112383912	-0.9484020622833829	0.0449571519150978	1.3472012095994899	0.120706865615517
D-glucose-6-phosphate	1.8391321568519199	0.8790251530420721	0.0063582657777136705	2.19666132238192	0.0292480225774829
gamma-aminobutyric acid (GABA)	0.544261159713518	-0.8776290106671949	0.0620637582256017	1.20716192957006	0.154320696128523
sedoheptulose anhydride monohydrate	1.83140738129805	0.872952742312813	0.000364330543953631	3.43850441779334	0.004788344291962
pantothenic acid	1.71926520193668	0.7817921021215759	0.00152415793606824	2.81697002826607	0.0107863484706368
alpha ketoglutaric acid	1.6994294648618702	0.7650504837944101	0.00130324330341241	2.88497449797471	0.00999153199282846
aspartic acid	0.599644991271451	-0.73781946235359	0.00236257268248222	2.62661482192329	0.0144904457858909
galactinol	1.6266202186624399	0.7018774516190059	0.00515470506331465	2.28779617869071	0.027186758624397005
Beta- alanine	0.6186622563342901	-0.6927760749334639	0.0745969452804239	1.12727895637476	0.17157297414497502
4-hydroxybenzoic acid	1.56947088643307	0.6502782672837161	0.027998766480244	1.5528611016086298	0.0905456152376008
heptanoic acid	1.5499336748766699	0.6322064806777	0.0207648832571649	1.68267050620648	0.0759045848021062
acetohydroxamic acid	1.48151699046868	0.567075171641316	0.0201164477619465	1.69644870619993	0.0759045848021062
dehydroascorbic acid	0.680238134532709	-0.5558882082784361	0.0459210901798163	1.33798781021247	0.120706865615517
tyrosine	1.41983114829548	0.505719369165741	3.4737571782744e-05	4.4592005427747	0.000639171320802489
L-valine	0.718281540153943	-0.477378656172877	0.16779549934323598	0.775219692116442	0.314880457364132
L-homoserine	0.732013704195301	-0.450057437102729	0.124113900442261	0.9061795758961171	0.25951088274291
D-mannose	1.3614606268156102	0.44515526051669	0.005463654984770579	2.2625167329980402	0.027186758624397005
D-glucose	1.36076791468221	0.44442102945124895	0.00539287800207068	2.26817940423006	0.027186758624397005
D-mannitol	1.3600685803362098	0.44367940001709705	0.00561465667242982	2.25067679502637	0.027186758624397005
L-tryptophan	0.743979586729231	-0.426665057597777	0.215804786990617	0.665938926008289	0.364027968516818
nicotinic acid	1.3374504521152801	0.419485445673301	0.0453069744685362	1.34383493838341	0.120706865615517
stearic acid	0.7628802994386309	-0.390471387701391	0.38849484298668696	0.41061474179817603	0.565196683915671
D-malic acid	0.776230251797525	-0.36544343493097997	0.121115708969086	0.916799524271178	0.259131284305952
eicosapentaenoic acid	0.7784176479129091	-0.361383676305055	0.444854288361406	0.35178221850985997	0.607526221140227
phosphoric acid	1.2829279487032599	0.359440148629162	0.0285415526292437	1.54452240543398	0.0905456152376008
L-mimosine	1.2732854725783798	0.34855590997061603	0.35147068902414697	0.454110887218414	0.530086940823303
3,4-dihydroxybenzoic acid 	0.7919937317387571	-0.336439082796109	0.14173543374392902	0.8485215629090491	0.277439572434925
fumaric acid	0.794657855843311	-0.331594260812395	0.178442090901441	0.7485026965398259	0.321895536528089
L-alanine	1.25118181268674	0.323291446740198	0.000935825654975234	3.0288050531153603	0.007826905477974691
oxalic acid	1.2495875553657299	0.32145199087361603	0.0008233661704804809	3.08440698076272	0.007574968768420421
benzoic acid	1.24520633058559	0.316384816549688	0.0018844156327727398	2.72482330159005	0.0123833027296495
arachidic acid	1.2416873748817	0.312301985570427	0.0313487801215797	1.5037793542519	0.0930350893930754
L-glutamic acid	0.8098790261506792	-0.30422167010829	0.15870368800153	0.7994129808689492	0.304182068669599
3-hydroxypyridine	0.814121780269918	-0.29668347895797803	0.00671928724561314	2.17267679267746	0.0294368774569718
benzoquinone	1.22680268342745	0.294903227377201	0.20544569444852398	0.687302955871281	0.35662271489177705
beta-cyano-L-alanine	1.22480526306354	0.292552387312974	0.35035084451895604	0.455496831304471	0.530086940823303
adenine	1.20516558043303	0.269231375217538	0.17113068335007198	0.7666721154447271	0.314880457364132
2-hydroxypyridine	0.835135860942705	-0.259917178780693	0.0772398288101514	1.11215869743652	0.173318640256925
L-Isoleucine	0.8379025445536591	-0.25514563934608603	0.564819546747666	0.248090282038125	0.6970230155582761
lauric acid	1.19132525906965	0.252567355757025	0.0226373374963417	1.64517465427901	0.0771346314690161
L-leucine	0.839481697212963	-0.252429223719032	0.568225284422508	0.24547944530357899	0.6970230155582761
D-saccharic acid	0.859042849000907	-0.21919800019492802	0.268610689400569	0.5708767085127641	0.433547077628988
L-serine	0.863343725876588	-0.211993036191133	0.6537479765184151	0.184589642351433	0.743463065035912
ethanolamine	1.1506270029988999	0.20242023300511497	0.48285401309612697	0.316184154735539	0.6306098841248421
glycine	1.1496352632668898	0.20117622000463697	0.486057750051373	0.313312127777555	0.6306098841248421
benzene-1,2,4-triol 	1.1489132106743998	0.20026982038720198	0.140552265310155	0.85216215038545	0.277439572434925
L-threonine	0.873426630306948	-0.195241576104812	0.678060688483797	0.168731433722772	0.75158534145192
L-glutamine	0.878122051367989	-0.187506619060937	0.486666323618084	0.31276870506705895	0.6306098841248421
glycerol	1.1366882186798601	0.184836592799069	0.39318030185438	0.405408248241323	0.565196683915671
3,5-dimethoxy-4-hydroxycinnamic acid	1.1248251411155399	0.169700745751175	0.0650927553489804	1.1864673445661	0.157592986634374
fructose	1.10579302167057	0.145081372413722	0.21762541596114102	0.6622903857794681	0.364027968516818
ribose	0.909318677367101	-0.137142108844625	0.0704656618192049	1.15202246478732	0.16622668941966298
maltose	1.09327654936842	0.128658383568523	0.515223960638008	0.2880039481892	0.6583417274819
4-hydroxycinnamic acid	0.917594672787019	-0.124071079259495	0.40614985465076203	0.391313697850992	0.574858255813386
ferulic acid	1.08955761093276	0.12374248173108401	0.340732419519026	0.467586542838392	0.530086940823303
3,4 dihydroxyphenylalanine (DOPA)	0.9200630990619731	-0.12019528851971799	0.23638597105064899	0.6263783013782621	0.38834838101178004
trans-aconitic acid	0.9276459299486659	-0.10835384188412199	0.449041119973211	0.347713887594061	0.607526221140227
itaconic acid	0.927987879305001	-0.107822132832753	0.6398630213484079	0.193912987640537	0.743463065035912
capric acid	1.07466073089963	0.10388127460379598	0.360537257574368	0.443049849050305	0.5349907693039
L-asparagine	1.07345614604388	0.10226325390992001	0.666537245694064	0.17617557746174	0.7478222756567541
adenosine	0.9325804373443051	-0.100699928175855	0.634088471113771	0.19785014300794299	0.743463065035912
lactose	1.06551881233958	0.0915560649455202	0.821046658341735	0.0856321621441711	0.8699432528336999
myo-inositol	0.940728151202104	-0.0881502173902914	0.695791614080697	0.157520809823017	0.762057482088383
spermidine	0.941520553962836	-0.0869355047992347	0.129962850013907	0.886180773383213	0.2657018266951
serotonin	0.950541342424384	-0.0731787187094394	0.7264132814105971	0.138816223971272	0.786235551644411
5,6-dihydrouracil	0.955402825202086	-0.0658189519079798	0.316784311909112	0.4992363340901429	0.502485460269627
glyoxylic acid	1.04483699146105	0.0632778801484862	0.654570742042487	0.184043410658742	0.743463065035912
Sucrose	1.0428709453797098	0.0605606363040402	0.6204604401141139	0.207285903428495	0.7413293570194609
caffeic acid	0.965673385812598	-0.0503927778199961	0.5798225534642429	0.236704895820328	0.701890459456715
1,6-anhydro-glucose 	1.0346765242634701	0.0491798017506711	0.0524925586882977	1.2799022575399999	0.13414764998120499
Pyruvic acid	0.9701216793787909	-0.0437623834362699	0.526640626247018	0.278485641480723	0.663711474174324
palmitic acid	0.9726924511412058	-0.0399443734895113	0.434107641734377	0.36240256907062607	0.605119743023678
Antiarol	0.9790799715975071	-0.0305013904055957	0.830776783724003	0.0805156484410265	0.8699432528336999
citric acid	0.982688088745205	-0.0251945259595356	0.8321196331452779	0.0798142310652476	0.8699432528336999
elaidic acid	1.00638505725085	0.00918240643343869	0.956387197629118	0.0193662460613264	0.988624968335717
arbutin	1.0061421271034101	0.00883411387528173	0.9830073409032059	0.00744323893098725	0.9898196234410991
pelargonic acid (nonanoic acid)	0.998054288744428	-0.00280980239879946	0.9844969015336559	0.00678564636075696	0.9898196234410991
myristic acid	0.9984228455591991	-0.00227714907073428	0.9898196234410991	0.004443940434232329	0.9898196234410991
