	FoldChange	log2(FC)	p.value	-log10	fdr
L-proline	0.168938442874326	-2.56543043617731	0.0776828722721704	1.1096747250556	0.456076061386308
xylose	0.17022082608835098	-2.55452053696864	0.0481171663093951	1.3176999568191001	0.442677930046435
Trehalose	5.58436858307853	2.4813941663739603	0.0086425416951103	2.06335851656859	0.30107771787951304
glyceric acid	0.21540226709369298	-2.21489466066162	0.0195070967594664	1.70980736182874	0.30107771787951304
L-tryptophan	0.3913702606107	-1.35339396206916	0.0145183896714616	1.83808155137573	0.30107771787951304
galactinol	1.77310276720205	0.82627615577193	0.013580337170203998	1.8670894473352502	0.30107771787951304
4-hydroxybenzoic acid	1.70702265549099	0.771482205845207	0.271601640039397	0.5660676119397321	0.68540704462101
L-lysine	1.62065304868162	0.696575270052706	0.0229080872299629	1.6400111718386399	0.30107771787951304
myristic acid	1.5598174703194498	0.6413772149387811	0.0209747821967057	1.67830254021368	0.30107771787951304
L-valine	0.6582242167436441	-0.6033489892192919	0.153058382975137	0.815142879198679	0.564886796349947
glycerol 1-phosphate	0.674547335705636	-0.5680084084349549	0.0777985269435528	1.10902862597102	0.456076061386308
D-glucose-6-phosphate	0.7000619075219089	-0.514445587507379	0.144847674395606	0.839088473226968	0.564886796349947
phosphoric acid	0.700822646374375	-0.512878699965226	0.00029029296364916897	3.53716349081446	0.0267069526557236
1,3-diaminopropane	1.40802838305657	0.493676416135895	0.153501846834225	0.81388639500707	0.564886796349947
L-Isoleucine	0.712095116315735	-0.489858136459811	0.43252955613457	0.363984210447548	0.740846142496605
L-leucine	0.7141394604596609	-0.48572225695407106	0.4358491103585301	0.360663836145623	0.740846142496605
alpha ketoglutaric acid	1.3982596941573402	0.483632332586491	0.0693454810772815	1.15898183462162	0.456076061386308
3,4-dihydroxybenzoic acid 	0.7183374571623421	-0.477266349164671	0.0793175758932709	1.10063056718816	0.456076061386308
eicosapentaenoic acid	1.38578431912426	0.47070273659280204	0.0946540857569088	1.02386063491326	0.4837875494242
shikimic acid	1.35443554518376	0.43769174026840096	0.0277367649227237	1.55694419424115	0.318972796611323
arbutin	1.35263207005989	0.435769464675531	0.36543484622481304	0.437190042638664	0.740846142496605
itaconic acid	1.32906437250372	0.410410982449153	0.0670860284754062	1.17336791780172	0.456076061386308
L-serine	0.7601976918346719	-0.39555345009228204	0.543618542387185	0.264705738254672	0.777287551791641
threonic acid	0.762382341179125	-0.391413391941123	0.27565283316279804	0.559637539478396	0.68540704462101
glycine	0.764881305597772	-0.3866922073582821	0.392214428644575	0.40647643370378206	0.740846142496605
acetohydroxamic acid	0.7653239452093891	-0.3858575559413479	0.196266598232707	0.7071536048193791	0.6415966190418989
ethanolamine	0.7676417627301679	-0.381494892936227	0.39673315434016	0.401501504730472	0.740846142496605
maleic acid	0.7742608364042041	-0.36910842516668996	0.202242412524077	0.694127762723041	0.6415966190418989
heptanoic acid	0.776897552327068	-0.364203728550815	0.18955354804326602	0.722268082083283	0.6415966190418989
succinic acid	0.7791259329520179	-0.36007155971782395	0.210239494434756	0.6772856964718139	0.644734449599919
fumaric acid	1.25890594065304	0.33217049590628306	0.133162054648613	0.8756195124364381	0.564886796349947
Beta- alanine	0.794427968020284	-0.33201168071454806	0.325811017827199	0.4870342334079629	0.740846142496605
quinic acid	1.2512082269774099	0.32332190383565695	0.17863463939741298	0.7480343223764642	0.632091800944694
sedoheptulose anhydride monohydrate	1.2495097983444299	0.321362214723935	0.330717617507451	0.48054266936668394	0.740846142496605
L-threonine	0.8163324530906559	-0.29277128246127804	0.6586087326176739	0.18137251519331002	0.812778576710519
citric acid	1.2014253416698202	0.264747000070571	0.0474118464596166	1.3241131307049399	0.442677930046435
stearic acid	0.844775721905095	-0.24335972135390196	0.550744616883235	0.25904973906023	0.777287551791641
maltose	1.18182929020145	0.24102165990960603	0.34510036560608	0.462054580608197	0.740846142496605
nicotinic acid	1.1813623709674	0.24045156474272	0.230779959436577	0.636801907318721	0.6634923833801579
gamma-aminobutyric acid (GABA)	0.851915338025021	-0.23121803002352695	0.515276451787942	0.287959704409168	0.777138255155585
L-asparagine	1.17055238313893	0.227189497631267	0.450949825867499	0.345871776439261	0.740846142496605
tyrosine	1.169059810606	0.225348741894651	0.0693332052594152	1.15905872199508	0.456076061386308
pantothenic acid	1.1595421610612802	0.21355527746404301	0.460419054043218	0.336846711769881	0.7409558426357621
4-hydroxycinnamic acid	1.15906422482875	0.21296050963584098	0.13901283075235402	0.85694511292736	0.564886796349947
lactose	1.1451866132761102	0.19558271108293998	0.5976562978784971	0.22354849970273602	0.7968750638379949
L-homoserine	1.13814730492142	0.186687290796143	0.48323207128419304	0.315844250050127	0.7409558426357621
beta-gentiobiose	1.1331929928506799	0.180393585887215	0.735225600105792	0.133579379490391	0.8495429012515829
elaidic acid	1.1330437039171999	0.18020351006273802	0.222602850321853	0.6524692790348801	0.660627813858404
4-hydroxy-3-methoxybenzoic acid	0.8869788754298671	-0.17302834963440103	0.6502071508792329	0.18694825850904898	0.812778576710519
serotonin	0.890344633581129	-0.16756421395667198	0.6336926961979511	0.19812129842818801	0.812778576710519
dehydroascorbic acid	1.1164052168835499	0.15886077114545902	0.41253413035408504	0.384540114965536	0.740846142496605
D-saccharic acid	1.10777106938294	0.147659766593851	0.3870002015735561	0.412288808773698	0.740846142496605
Antiarol	1.1063149756787098	0.145762189511243	0.29402780375373805	0.531611600043999	0.7118567880353671
2-hydroxypyridine	1.10574576427496	0.14501971578736098	0.238297096496928	0.622881249231573	0.664343420536891
Sucrose	1.09896088470888	0.13614003738742197	0.38256737695961796	0.417292066745954	0.740846142496605
lauric acid	1.09415201475256	0.129813191232933	0.151015719115376	0.820977844960066	0.564886796349947
myo-inositol	1.08650633370709	0.11969658462611801	0.5903677676907371	0.22887736171377202	0.7968750638379949
glyoxylic acid	1.08602711937181	0.11906012938050199	0.40396934640918797	0.39365158833102204	0.740846142496605
3-hydroxypyridine	0.9213686343285309	-0.118149609023493	0.14693660983872198	0.83286998453602	0.564886796349947
5,6-dihydrouracil	0.927342300571323	-0.10882613016462499	0.34105782076814695	0.467171987248484	0.740846142496605
ribose	0.933129060619114	-0.099851461572065	0.257906770191692	0.588537257248254	0.68540704462101
L-mimosine	1.06930362098871	0.096671553994575	0.7549630115568341	0.12207432554997699	0.857488852632453
aspartic acid	0.937470123597726	-0.0931553811639765	0.5576193306331341	0.253662179239701	0.777287551791641
capric acid	1.06645567924654	0.0928240100667898	0.35651942526153707	0.44791680226636	0.740846142496605
benzene-1,2,4-triol 	1.06528797536574	0.0912434815985488	0.273065205360937	0.563733635204286	0.68540704462101
D-mannose	1.06181078506997	0.0865267004525442	0.685643163450406	0.163901849984699	0.812778576710519
D-mannitol	1.06134276629832	0.08589065755174101	0.6879605453128579	0.162436467933454	0.812778576710519
D-glucose	1.06095260065576	0.0853602035416493	0.689094880254571	0.161720976736666	0.812778576710519
arachidic acid	1.06023261775382	0.0843808305071536	0.35145525988696796	0.45412995263817496	0.740846142496605
fructose	1.04967045785394	0.069936467470368	0.44356284310026295	0.353044841495815	0.740846142496605
beta-cyano-L-alanine	1.0480530725314101	0.0677117755959643	0.897472350883942	0.0469789221852972	0.9452491633875979
3,5-dimethoxy-4-hydroxycinnamic acid	1.04743134018522	0.0668556774131307	0.469395910706966	0.32846069821662394	0.7409558426357621
Pyruvic acid	0.956934003362752	-0.0635086647470796	0.4412444211487821	0.355320772549426	0.740846142496605
ferulic acid	1.04252790647912	0.0600860023751443	0.6147699480589179	0.211287370370689	0.8079833603060059
trans-aconitic acid	0.963588707280162	-0.0535106087895736	0.7387329576100721	0.13151252506334898	0.8495429012515829
oxalic acid	0.963652838592038	-0.0534145939170824	0.5554689928201639	0.255340179068656	0.777287551791641
adenosine	1.03588847648368	0.0508686911667941	0.8240187853787521	0.0840628874614554	0.892565802828991
L-alanine	0.9654315683754592	-0.0507540930539788	0.5859866604754329	0.23211227024103898	0.7968750638379949
adenine	0.9689369727261742	-0.0455252704159406	0.8246531873963499	0.0837286580772004	0.892565802828991
caffeic acid	1.02955064283701	0.0420147968209101	0.5463208508023789	0.262552223948879	0.777287551791641
spermidine	0.973361490158408	-0.0389523975839912	0.47709101596529796	0.321398761503183	0.7409558426357621
benzoquinone	0.976661822880004	-0.034068991149735	0.929694074939038	0.0316599368473153	0.9503539432710161
L-glutamic acid	0.9774704671460721	-0.0328749807492662	0.85996099685263	0.0655212455422472	0.919958275702813
benzoic acid	1.02243900492258	0.0320147796751301	0.8027505661201009	0.0954193794858456	0.892565802828991
allantoin	0.97840195347698	-0.0315008105347993	0.904151373675093	0.0437588535419936	0.9452491633875979
1,6-anhydro-glucose 	1.02184985986895	0.0311832370439393	0.0938102641368995	1.0277496412142901	0.4837875494242
3,4 dihydroxyphenylalanine (DOPA)	1.02121472174749	0.0302862407807023	0.688503123281636	0.16209408529681302	0.812778576710519
pelargonic acid (nonanoic acid)	1.02004044921677	0.0286263627138259	0.81037483985428	0.091314051214009	0.892565802828991
palmitic acid	0.980762798533542	-0.0280238379111239	0.647876157446773	0.18850800227389	0.812778576710519
D-malic acid	0.987620308664416	-0.0179715916304482	0.92927917853864	0.0318537935581732	0.9503539432710161
glycerol	1.00489301738629	0.0070419178203371706	0.9785640781463539	0.00941073068639642	0.9893175295545551
L-glutamine	0.997141533099516	-0.00412980128803605	0.990980894198663	0.00393471849563251	0.990980894198663
