	FoldChange	log2(FC)	p.value	-log10	fdr
L-asparagine	0.126201106930444	-2.9862035303984498	1.29084725559597e-05	4.8891251442373695	0.000169654210735471
beta-cyano-L-alanine	0.126920327263525	-2.9780049485313396	5.19299990913973e-05	4.28458168500366	0.000398129993034046
Beta- alanine	0.133614777172754	-2.9038485228918702	3.02137776720505e-05	4.519794970868491	0.00025269704962078597
L-glutamine	0.152683100370936	-2.7113877076726403	6.15679280058601e-05	4.21064546181802	0.00043571149050301
5,6-dihydrouracil	0.166922434735079	-2.58275022583166	6.4635942425346806e-06	5.1895259145724495	9.91084450521984e-05
allantoin	0.213289913654381	-2.2291123517352096	2.26273377130134e-06	5.64536654125357	6.93905023199079e-05
stearic acid	0.23899316356624997	-2.0649587445898403	0.18151811111903302	0.741080036376366	0.29297660040265
L-threonine	0.270068975883814	-1.8886001748082502	3.81362548181568e-06	5.418661959210089	8.77133860817605e-05
caffeic acid	3.17051036124994	1.6647150915886297	0.00866220108233854	2.0623717388772	0.0241491666537923
shikimic acid	2.9919449467033195	1.58108362915308	0.00454191248334519	2.3427612383167298	0.0139285316155919
L-valine	0.34555426514836995	-1.53301580854872	1.8219272980005002e-06	5.739468957059599	6.93905023199079e-05
gamma-aminobutyric acid (GABA)	0.349517966167443	-1.51656147895906	1.41183574712721e-07	6.85021582613523	1.29888888735704e-05
3,5-dimethoxy-4-hydroxycinnamic acid	2.8116056779738905	1.4913942735277	0.000905890400758326	3.04292434230675	0.00396866270808409
capric acid	0.364595188532626	-1.45563257225393	1.5000071047450799e-05	4.8239066839147995	0.000172500817045685
L-serine	0.36692912646391995	-1.4464266660784098	2.7097680577921803e-05	4.56706788090858	0.00025269704962078597
1,3-diaminopropane	0.38248388901450203	-1.38652911499946	0.000142198935151525	3.8471036557831	0.0008176438771212679
L-proline	0.399763723734125	-1.3227805331684699	0.007227018945281291	2.14104080679848	0.0207776794676837
itaconic acid	0.417460679944681	-1.26028777639108	0.00432727764963207	2.36378523841935	0.013727915302281
aspartic acid	0.43533934537072705	-1.1997876800773	5.0216490308673e-06	5.29915364392976	9.23983421679583e-05
maleic acid	2.21457159280647	1.14702763751102	9.13766323579055e-05	4.03916485170086	0.000562040282762142
succinic acid	2.20007828865497	1.13755486222479	9.163700262426221e-05	4.03792912468814	0.000562040282762142
Antiarol	0.46454569359340203	-1.10610758508591	0.0019225062975618899	2.7161322289039598	0.007369607473987259
spermidine	0.488621805266255	-1.03320984804938	0.00173545334069764	2.76058705825298	0.00694181336279056
threonic acid	0.494842463668121	-1.01495878799504	0.0002323305239983	3.63389372806819	0.00125731812987315
galactinol	1.97353373585258	0.980781181065939	0.120402570103861	0.9193642425631461	0.213019931722216
elaidic acid	1.9714758424866203	0.9792760324653721	0.0034316485545336	2.4644971959521698	0.0112754166791818
L-glutamic acid	0.514442582608573	-0.9589180292518659	2.94490903490188e-05	4.530928115562889	0.00025269704962078597
