	FoldChange	log2(FC)	p.value	-log10	fdr
D-glucose-6-phosphate	0.208797621733328	-2.25982281560923	2.3573294984625e-05	4.62757970921829	0.000535082993558909
5,6-dihydrouracil	0.226048306094968	-2.1452969881021597	1.35137372453259e-05	4.86922452954412	0.000535082993558909
beta-cyano-L-alanine	0.22728553152778197	-2.13742224644426	0.000135429117720413	3.86828795082242	0.00155743485378476
L-asparagine	0.24079997918369397	-2.0540928275056203	3.9783843320025705e-05	4.40029326414639	0.000535082993558909
serotonin	4.10318813484566	2.03674530460488	0.10950975068687199	0.9605472097647629	0.249898120465809
stearic acid	0.356893830515586	-1.48643313259121	0.272168960687525	0.565161405109064	0.48152969967793
L-glutamine	0.357244879512781	-1.48501476195524	0.00045465403113649803	3.34231895393868	0.00321755160496598
capric acid	0.401734010423885	-1.3156874911269598	3.85782264742357e-05	4.41365774170399	0.000535082993558909
itaconic acid	0.480391238469383	-1.05771825594215	0.0113748798266549	1.9440531828815202	0.0360858256569743
glycerol 1-phosphate	0.48194132505571996	-1.05307058163519	0.00022155578028209302	3.65451691495365	0.0022647924206614
1,3-diaminopropane	0.48639701686768705	-1.03979371430363	0.0009055400683384401	3.04309232826181	0.0055539790858091
L-threonine	0.49527305441315206	-1.0137039623503001	0.000292777878198136	3.5334617409313704	0.0024785340051810397
L-mimosine	0.567373771490289	-0.817628635525536	0.0272183836999639	1.56513766792872	0.0707290633825784
myristic acid	0.5688649364798579	-0.813841935502771	0.00545963700794867	2.26283623104717	0.0201539846963813
succinic acid	0.572905202500384	-0.803631656074442	0.0236476307425675	1.6262123647347502	0.0659267281307942
maleic acid	0.573913870698841	-0.801093852131233	0.0248980517523174	1.60383463468422	0.0673711988592119
Beta- alanine	0.579883034513035	-0.786166164552826	0.0056956913272382	2.2444535549241498	0.0201539846963813
L-serine	0.585324564522432	-0.772691268857159	0.000686771518327118	3.16318772412535	0.0045130699775782
adenosine	0.603455531524798	-0.7286806317982909	0.00118163138376973	2.9275179828137303	0.00679438045667596
L-valine	0.62954863280353	-0.667610264052874	0.00041952390917680897	3.37724328316028	0.0032163499703555397
spermidine	0.6326216823152429	-0.6605850916204019	0.0276765900192698	1.55788741952751	0.0707290633825784
3,5-dimethoxy-4-hydroxycinnamic acid	1.5703827908307901	0.6511162681108679	3.80382540259633e-06	5.41977942560139	0.000349951937038862
citric acid	0.6406039181777851	-0.642495472674902	0.00222410745628954	2.65284423393071	0.0120363462340375
adenine	0.641862078817829	-0.6396647657359	0.19191869361694802	0.7168827212557399	0.363953623220958
phosphoric acid	0.649974331405073	-0.621545350109079	0.004319966933533171	2.3645195774070897	0.0180653162675024
caffeic acid	1.4728835491353998	0.5586433708176701	0.0054856723729621295	2.2607701338192703	0.0201539846963813
