"","FoldChange","log2(FC)"
"L-proline",0.168938442874326,-2.56543043617731
"xylose",0.170220826088351,-2.55452053696864
"Trehalose",5.58436858307853,2.48139416637396
"glyceric acid",0.215402267093693,-2.21489466066162
"L-tryptophan",0.3913702606107,-1.35339396206916
"galactinol",1.77310276720205,0.82627615577193
"4-hydroxybenzoic acid",1.70702265549099,0.771482205845207
"L-lysine",1.62065304868162,0.696575270052706
"myristic acid",1.55981747031945,0.641377214938781
"L-valine",0.658224216743644,-0.603348989219292
"glycerol 1-phosphate",0.674547335705636,-0.568008408434955
"D-glucose-6-phosphate",0.700061907521909,-0.514445587507379
"phosphoric acid",0.700822646374375,-0.512878699965226
"1,3-diaminopropane",1.40802838305657,0.493676416135895
"L-Isoleucine",0.712095116315735,-0.489858136459811
"L-leucine",0.714139460459661,-0.485722256954071
"alpha ketoglutaric acid",1.39825969415734,0.483632332586491
"3,4-dihydroxybenzoic acid ",0.718337457162342,-0.477266349164671
"eicosapentaenoic acid",1.38578431912426,0.470702736592802
"shikimic acid",1.35443554518376,0.437691740268401
"arbutin",1.35263207005989,0.435769464675531
"itaconic acid",1.32906437250372,0.410410982449153
"L-serine",0.760197691834672,-0.395553450092282
"threonic acid",0.762382341179125,-0.391413391941123
"glycine",0.764881305597772,-0.386692207358282
"acetohydroxamic acid",0.765323945209389,-0.385857555941348
"ethanolamine",0.767641762730168,-0.381494892936227
"maleic acid",0.774260836404204,-0.36910842516669
"heptanoic acid",0.776897552327068,-0.364203728550815
"succinic acid",0.779125932952018,-0.360071559717824
"fumaric acid",1.25890594065304,0.332170495906283
"Beta- alanine",0.794427968020284,-0.332011680714548
"quinic acid",1.25120822697741,0.323321903835657
"sedoheptulose anhydride monohydrate",1.24950979834443,0.321362214723935
"L-threonine",0.816332453090656,-0.292771282461278
"citric acid",1.20142534166982,0.264747000070571
"stearic acid",0.844775721905095,-0.243359721353902
"maltose",1.18182929020145,0.241021659909606
"nicotinic acid",1.1813623709674,0.24045156474272
"gamma-aminobutyric acid (GABA)",0.851915338025021,-0.231218030023527
"L-asparagine",1.17055238313893,0.227189497631267
"tyrosine",1.169059810606,0.225348741894651
"pantothenic acid",1.15954216106128,0.213555277464043
"4-hydroxycinnamic acid",1.15906422482875,0.212960509635841
"lactose",1.14518661327611,0.19558271108294
"L-homoserine",1.13814730492142,0.186687290796143
"beta-gentiobiose",1.13319299285068,0.180393585887215
"elaidic acid",1.1330437039172,0.180203510062738
"4-hydroxy-3-methoxybenzoic acid",0.886978875429867,-0.173028349634401
"serotonin",0.890344633581129,-0.167564213956672
"dehydroascorbic acid",1.11640521688355,0.158860771145459
"D-saccharic acid",1.10777106938294,0.147659766593851
"Antiarol",1.10631497567871,0.145762189511243
"2-hydroxypyridine",1.10574576427496,0.145019715787361
"Sucrose",1.09896088470888,0.136140037387422
"lauric acid",1.09415201475256,0.129813191232933
"myo-inositol",1.08650633370709,0.119696584626118
"glyoxylic acid",1.08602711937181,0.119060129380502
"3-hydroxypyridine",0.921368634328531,-0.118149609023493
"5,6-dihydrouracil",0.927342300571323,-0.108826130164625
"ribose",0.933129060619114,-0.099851461572065
"L-mimosine",1.06930362098871,0.096671553994575
"aspartic acid",0.937470123597726,-0.0931553811639765
"capric acid",1.06645567924654,0.0928240100667898
"benzene-1,2,4-triol ",1.06528797536574,0.0912434815985488
"D-mannose",1.06181078506997,0.0865267004525442
"D-mannitol",1.06134276629832,0.085890657551741
"D-glucose",1.06095260065576,0.0853602035416493
"arachidic acid",1.06023261775382,0.0843808305071536
"fructose",1.04967045785394,0.069936467470368
"beta-cyano-L-alanine",1.04805307253141,0.0677117755959643
"3,5-dimethoxy-4-hydroxycinnamic acid",1.04743134018522,0.0668556774131307
"Pyruvic acid",0.956934003362752,-0.0635086647470796
"ferulic acid",1.04252790647912,0.0600860023751443
"trans-aconitic acid",0.963588707280162,-0.0535106087895736
"oxalic acid",0.963652838592038,-0.0534145939170824
"adenosine",1.03588847648368,0.0508686911667941
"L-alanine",0.965431568375459,-0.0507540930539788
"adenine",0.968936972726174,-0.0455252704159406
"caffeic acid",1.02955064283701,0.0420147968209101
"spermidine",0.973361490158408,-0.0389523975839912
"benzoquinone",0.976661822880004,-0.034068991149735
"L-glutamic acid",0.977470467146072,-0.0328749807492662
"benzoic acid",1.02243900492258,0.0320147796751301
"allantoin",0.97840195347698,-0.0315008105347993
"1,6-anhydro-glucose ",1.02184985986895,0.0311832370439393
"3,4 dihydroxyphenylalanine (DOPA)",1.02121472174749,0.0302862407807023
"pelargonic acid (nonanoic acid)",1.02004044921677,0.0286263627138259
"palmitic acid",0.980762798533542,-0.0280238379111239
"D-malic acid",0.987620308664416,-0.0179715916304482
"glycerol",1.00489301738629,0.00704191782033717
"L-glutamine",0.997141533099516,-0.00412980128803605
