"","FoldChange","log2(FC)"
"L-asparagine",0.126201106930444,-2.98620353039845
"beta-cyano-L-alanine",0.126920327263525,-2.97800494853134
"Beta- alanine",0.133614777172754,-2.90384852289187
"L-glutamine",0.152683100370936,-2.71138770767264
"5,6-dihydrouracil",0.166922434735079,-2.58275022583166
"allantoin",0.213289913654381,-2.22911235173521
"stearic acid",0.23899316356625,-2.06495874458984
"L-threonine",0.270068975883814,-1.88860017480825
"caffeic acid",3.17051036124994,1.66471509158863
"shikimic acid",2.99194494670332,1.58108362915308
"L-valine",0.34555426514837,-1.53301580854872
"gamma-aminobutyric acid (GABA)",0.349517966167443,-1.51656147895906
"3,5-dimethoxy-4-hydroxycinnamic acid",2.81160567797389,1.4913942735277
"capric acid",0.364595188532626,-1.45563257225393
"L-serine",0.36692912646392,-1.44642666607841
"1,3-diaminopropane",0.382483889014502,-1.38652911499946
"L-proline",0.399763723734125,-1.32278053316847
"itaconic acid",0.417460679944681,-1.26028777639108
"aspartic acid",0.435339345370727,-1.1997876800773
"maleic acid",2.21457159280647,1.14702763751102
"succinic acid",2.20007828865497,1.13755486222479
"Antiarol",0.464545693593402,-1.10610758508591
"spermidine",0.488621805266255,-1.03320984804938
"threonic acid",0.494842463668121,-1.01495878799504
"galactinol",1.97353373585258,0.980781181065939
"elaidic acid",1.97147584248662,0.979276032465372
"L-glutamic acid",0.514442582608573,-0.958918029251866
"myristic acid",0.517659623962821,-0.949924298574231
"myo-inositol",1.91729154520803,0.939069731291379
"citric acid",0.555921381135136,-0.847047224647704
"adenosine",0.563171781050634,-0.82835304848008
"quinic acid",1.72409793680899,0.78584172856595
"3,4 dihydroxyphenylalanine (DOPA)",1.71336401912686,0.776831697129344
"dehydroascorbic acid",0.602272772635974,-0.731511055410157
"L-homoserine",0.653847632464827,-0.612973614359647
"serotonin",0.656669956999314,-0.606759642204936
"3,4-dihydroxybenzoic acid ",1.49586198151997,0.580977068432478
"alpha ketoglutaric acid",1.47324734966372,0.558999670818439
"L-alanine",1.40819486867072,0.493846990659802
"oxalic acid",1.40414686170482,0.489693837047471
"arachidic acid",0.72290409414847,-0.468123833705596
"L-leucine",0.731708137468895,-0.450659791449987
"L-Isoleucine",0.732025945701226,-0.450033311034979
"L-tryptophan",1.34804377194705,0.430867342621904
"D-malic acid",0.74373056860433,-0.42714802427775
"glyceric acid",0.747656667600387,-0.419552174590058
"benzoquinone",1.33708606989552,0.419092336496923
"eicosapentaenoic acid",0.752600362419499,-0.410044110742413
"4-hydroxybenzoic acid",1.2917738476212,0.369353517807485
"D-glucose-6-phosphate",0.778462615964979,-0.361300336324143
"adenine",0.78684400938275,-0.345850442885297
"fumaric acid",0.78845959676702,-0.342891266361499
"glycine",0.825639888847792,-0.276415422027432
"ethanolamine",0.827200568221344,-0.273690918216824
"L-lysine",1.2067212943421,0.271092508155728
"glycerol",1.17948834702304,0.238161165270792
"4-hydroxy-3-methoxybenzoic acid",1.16617788680704,0.221787871591509
"L-mimosine",0.867059828285288,-0.205796550122453
"D-saccharic acid",0.872139915909761,-0.197368492228529
"Sucrose",1.142903423782,0.192703499862662
"heptanoic acid",1.13523746916147,0.182994112271273
"lactose",1.13408604922713,0.181530109489524
"4-hydroxycinnamic acid",0.887045366165902,-0.172920204714011
"lauric acid",0.889529612853025,-0.168885460609008
"benzoic acid",1.11656568761732,0.159068127481137
"xylose",1.11299287552892,0.154444357754452
"pantothenic acid",0.898666439014386,-0.154142369668215
"Trehalose",1.11255469019315,0.153876256826109
"pelargonic acid (nonanoic acid)",0.901533323024485,-0.149547276470263
"glycerol 1-phosphate",0.902136499699494,-0.148582354820756
"beta-gentiobiose",1.10394561718457,0.142669103501411
"ferulic acid",1.09352627318424,0.128987883154421
"trans-aconitic acid",1.09116736064058,0.125872395748343
"phosphoric acid",1.08417637078258,0.116599469381562
"Pyruvic acid",1.08008613998217,0.111146376064096
"2-hydroxypyridine",0.933244824713516,-0.0996724917671053
"fructose",0.933902038571354,-0.0986568681637248
"acetohydroxamic acid",1.06522558958997,0.0911589915011101
"arbutin",0.964174290199079,-0.0526341342434397
"palmitic acid",1.03267483298249,0.0463860521765875
"D-mannose",0.971489842018292,-0.0417291839418499
"D-glucose",0.971681913248486,-0.041443979907312
"D-mannitol",0.972394884811127,-0.0403857906579373
"glyoxylic acid",1.02625046078804,0.0373828697755189
"benzene-1,2,4-triol ",0.978056186582919,-0.0320107485481364
"1,6-anhydro-glucose ",1.02205819094004,0.0314773385364668
"tyrosine",0.981421148893385,-0.0270557341447075
"sedoheptulose anhydride monohydrate",0.983322518742021,-0.024263412934526
"ribose",1.01282832789593,0.018389661323845
"nicotinic acid",1.00940794805357,0.0135093515392695
"3-hydroxypyridine",0.99689159101249,-0.00449147051708764
"maltose",1.00055256960259,0.000796969255177469
