"","FoldChange","log2(FC)"
"D-glucose-6-phosphate",0.208797621733328,-2.25982281560923
"5,6-dihydrouracil",0.226048306094968,-2.14529698810216
"beta-cyano-L-alanine",0.227285531527782,-2.13742224644426
"L-asparagine",0.240799979183694,-2.05409282750562
"serotonin",4.10318813484566,2.03674530460488
"stearic acid",0.356893830515586,-1.48643313259121
"L-glutamine",0.357244879512781,-1.48501476195524
"capric acid",0.401734010423885,-1.31568749112696
"itaconic acid",0.480391238469383,-1.05771825594215
"glycerol 1-phosphate",0.48194132505572,-1.05307058163519
"1,3-diaminopropane",0.486397016867687,-1.03979371430363
"L-threonine",0.495273054413152,-1.0137039623503
"L-mimosine",0.567373771490289,-0.817628635525536
"myristic acid",0.568864936479858,-0.813841935502771
"succinic acid",0.572905202500384,-0.803631656074442
"maleic acid",0.573913870698841,-0.801093852131233
"Beta- alanine",0.579883034513035,-0.786166164552826
"L-serine",0.585324564522432,-0.772691268857159
"adenosine",0.603455531524798,-0.728680631798291
"L-valine",0.62954863280353,-0.667610264052874
"spermidine",0.632621682315243,-0.660585091620402
"3,5-dimethoxy-4-hydroxycinnamic acid",1.57038279083079,0.651116268110868
"citric acid",0.640603918177785,-0.642495472674902
"adenine",0.641862078817829,-0.6396647657359
"phosphoric acid",0.649974331405073,-0.621545350109079
"caffeic acid",1.4728835491354,0.55864337081767
"glycine",0.701359297496316,-0.511774386857361
"ethanolamine",0.701959101869053,-0.510541117419523
"alpha ketoglutaric acid",1.38665934594067,0.471613411104609
"L-proline",0.721727726833471,-0.470473414605148
"myo-inositol",1.37363996592047,0.458003920134452
"aspartic acid",0.729842036748545,-0.45434384659294
"glyceric acid",0.742015037762634,-0.43047966992034
"threonic acid",0.74853930995274,-0.417850012692232
"L-leucine",0.753074065116871,-0.409136333413658
"L-Isoleucine",0.75314602858987,-0.408998476607559
"Antiarol",0.758452734305664,-0.398868818314235
"Trehalose",0.765521020907555,-0.385486100777322
"beta-gentiobiose",0.770435930330699,-0.376253108085578
"D-saccharic acid",0.792368971907444,-0.335755707531868
"4-hydroxycinnamic acid",1.25501351428715,0.327702899546624
"glycerol",0.797679523225476,-0.326118851094019
"L-glutamic acid",0.808725106511639,-0.306278694910423
"arachidic acid",0.814186799583035,-0.296568263645835
"benzoquinone",1.22360198313503,0.291134350237548
"maltose",0.832519115717762,-0.264444696175413
"pantothenic acid",0.834929540787695,-0.260273640348813
"pelargonic acid (nonanoic acid)",0.840505124219562,-0.25067147987135
"L-homoserine",0.85934267305759,-0.218694557075147
"quinic acid",0.880122360637032,-0.184223983850455
"trans-aconitic acid",0.882095704238927,-0.180992903344409
"nicotinic acid",0.883192031703249,-0.179200938933039
"elaidic acid",1.12900492749498,0.175051782707074
"arbutin",0.891129487351534,-0.166293014221194
"galactinol",1.11979690424279,0.163237096737258
"lactose",0.896956855420591,-0.156889503240868
"heptanoic acid",0.898785348211154,-0.153951488655481
"2-hydroxypyridine",1.10342999544145,0.141995104077788
"acetohydroxamic acid",0.910226390544344,-0.135702679361851
"shikimic acid",0.91980143977092,-0.120605638908219
"allantoin",0.925506646667306,-0.111684743819576
"4-hydroxybenzoic acid",0.945760363670796,-0.0804534144300075
"eicosapentaenoic acid",0.951117224081173,-0.0723049323732189
"L-tryptophan",0.956861477491096,-0.0636180105120486
"sedoheptulose anhydride monohydrate",0.957102992330656,-0.0632539157039393
"D-mannitol",0.958533557818587,-0.0610991540205635
"D-mannose",0.958685214345174,-0.0608709128595034
"Sucrose",1.04299987157661,0.0607389802202912
"D-glucose",0.960876505805635,-0.0575770706629096
"3,4 dihydroxyphenylalanine (DOPA)",1.03917014432845,0.0554318874303502
"fructose",0.963452505715498,-0.0537145456030722
"benzene-1,2,4-triol ",0.963470046059251,-0.0536882805443906
"3-hydroxypyridine",0.9636368543928,-0.0534385242323405
"L-alanine",0.966735026775625,-0.048807580512138
"oxalic acid",0.967590916880039,-0.0475308685972535
"tyrosine",0.970808839985703,-0.0427408494540743
"3,4-dihydroxybenzoic acid ",1.02911207704354,0.04140010972448
"xylose",0.972266232673994,-0.0405766782103686
"lauric acid",0.972297243278773,-0.0405306639287203
"palmitic acid",1.02218962921586,0.031662859437706
"Pyruvic acid",1.02072873061584,0.0295995057901087
"fumaric acid",0.980888540351783,-0.0278388844545531
"ferulic acid",1.01921698542791,0.0274612256703691
"D-malic acid",0.983335565997001,-0.0242442706034792
"dehydroascorbic acid",1.0166272758956,0.0237908436222224
"gamma-aminobutyric acid (GABA)",0.983894156056261,-0.0234249711378315
"1,6-anhydro-glucose ",1.01062437131043,0.0152468762269651
"ribose",0.992926810474437,-0.0102407155597471
"4-hydroxy-3-methoxybenzoic acid",0.99491204664926,-0.0073591023682706
"L-lysine",1.00491692354685,0.00707623877634121
"glyoxylic acid",1.00311901075398,0.00449277847163117
"benzoic acid",1.00215532594524,0.00310613189051687
