"","p.value","-log10","fdr"
"allantoin",2.07493800433077e-09,8.68299487474913,1.90894296398431e-07
"myristic acid",1.87618592196868e-07,6.7267241271061,8.63045524105594e-06
"3,5-dimethoxy-4-hydroxycinnamic acid",4.25381451540731e-07,6.37122145112613,1.12298879184631e-05
"L-homoserine",4.88255996454919e-07,6.31135241427402,1.12298879184631e-05
"threonic acid",1.26117367122802e-06,5.89922510433687,2.32055955505956e-05
"aspartic acid",2.20398673081245e-06,5.65679102449914,3.3794463205791e-05
"citric acid",2.9153405985886e-06,5.53531069941389,3.83159050100216e-05
"L-glutamic acid",4.72390958449849e-06,5.3256984233636,4.88391876710773e-05
"gamma-aminobutyric acid (GABA)",4.77774661999669e-06,5.32077688607529,4.88391876710773e-05
"L-valine",7.53230595355675e-06,5.1230720477575,6.44670777988983e-05
"1,3-diaminopropane",7.70802017160741e-06,5.11305715748229,6.44670777988983e-05
"elaidic acid",1.1629235687792e-05,4.93444882761739,8.91574736064057e-05
"fumaric acid",2.68945722448043e-05,4.57033535873289,0.000186240559873825
"D-malic acid",2.83409547634082e-05,4.54758552312543,0.000186240559873825
"glycerol 1-phosphate",3.10445497813895e-05,4.50801463405849,0.000190406571992522
"shikimic acid",5.20214517470694e-05,4.28381753224503,0.000299123347545649
"Beta- alanine",0.00012513724720276,3.90261340296087,0.000677213337803171
"galactinol",0.00014109346862978,3.85049308974458,0.000721144395218873
"quinic acid",0.000166498707568588,3.77858913331688,0.000806204268226846
"L-asparagine",0.000371880111641291,3.4295970473345,0.00171064851354994
"succinic acid",0.000452183500956335,3.34468528801972,0.00185759981917186
"L-threonine",0.000462133325404604,3.33523271246491,0.00185759981917186
"maleic acid",0.000464399954792964,3.33310783120988,0.00185759981917186
"dehydroascorbic acid",0.00122414809778789,2.91216603794103,0.00469256770818691
"adenosine",0.00152036527193234,2.81805205907709,0.00559494420071102
"beta-cyano-L-alanine",0.00170620706059005,2.76796826518789,0.00600720561733662
"Antiarol",0.00176298425726183,2.75375156575788,0.00600720561733662
"L-serine",0.00192152820213207,2.71635323704379,0.00631359266414824
"L-glutamine",0.00203968860807358,2.69043612969067,0.00647073627388861
"benzoquinone",0.00234669041400306,2.62954420071179,0.00701642534840277
"ferulic acid",0.00236423028044006,2.62631022463778,0.00701642534840277
"myo-inositol",0.00350645874237758,2.4551312667219,0.0100810688843355
"caffeic acid",0.00427020770150428,2.36955100051984,0.0117632781435305
"capric acid",0.00457141225467037,2.33994961182044,0.0117632781435305
