"","p.value","-log10","fdr"
"myristic acid",5.63408702748749e-08,7.24917644892538,5.18336006528849e-06
"gamma-aminobutyric acid (GABA)",3.66235503615896e-07,6.43623955660158,1.57603494251735e-05
"glycerol 1-phosphate",5.13924437777395e-07,6.28910073055469,1.57603494251735e-05
"L-glutamic acid",1.08265557907275e-06,5.96550968178493,2.3471610745532e-05
"quinic acid",1.31968800853586e-06,5.87952872954153,2.3471610745532e-05
"citric acid",1.5307572225347e-06,5.81509368276627,2.3471610745532e-05
"shikimic acid",2.85915294085475e-06,5.54376261288519,3.75774386512339e-05
"aspartic acid",1.12043966241688e-05,4.95061152599636,0.000128850561177941
"phosphoric acid",1.66450818998523e-05,4.77871406361537,0.000170149726087379
"1,3-diaminopropane",5.07860296545275e-05,4.29425573807767,0.000467231472821653
"galactinol",6.70468951429916e-05,4.1736213289755,0.000560755850286839
"Antiarol",0.000150441377068977,3.82263269990584,0.00115338389086216
"D-glucose-6-phosphate",0.000197458563057468,3.70452402775186,0.00139739906163746
"succinic acid",0.000339609573366441,3.46902007578492,0.0022078077478392
"maleic acid",0.000359968654539,3.44373531521447,0.0022078077478392
"adenosine",0.000426770759200379,3.36980534452629,0.00245393186540218
"Beta- alanine",0.000499659524293318,3.30132582984104,0.00270403977852854
"glyceric acid",0.000672775566296514,3.17212978952775,0.00343863067218218
"allantoin",0.00100556405856347,2.99759025784249,0.0048690470204126
"threonic acid",0.00109589124029112,2.96023254446949,0.00504109970533917
"L-asparagine",0.00135823430923863,2.86702530337537,0.00595035983095018
"L-homoserine",0.00186284987779557,2.72982214235119,0.0077900994889633
"L-threonine",0.00241593304419755,2.61691510603537,0.00950634345446028
"D-malic acid",0.00247991568377225,2.60556308477658,0.00950634345446028
"fumaric acid",0.00323699763373034,2.48985761806985,0.0119121512921277
"L-glutamine",0.00338901652716524,2.46992631324018,0.0119919046345847
"beta-cyano-L-alanine",0.00358400916245588,2.44563088874235,0.0122121793683682
"capric acid",0.00431022264061497,2.36550029617495,0.0141621601048778
"pelargonic acid (nonanoic acid)",0.00452766030941225,2.34412616381664,0.0143455224889884
"5,6-dihydrouracil",0.00467788776814838,2.32995020199214,0.0143455224889884
"L-valine",0.00516871478203411,2.2866174322367,0.015339411611198
"alpha ketoglutaric acid",0.00644997485762527,2.19044197826642,0.0185436777156727
"Sucrose",0.00716686344752201,2.14467087019945,0.0199453927402026
"ethanolamine",0.00740555283293475,2.13044251535598,0.0199453927402026
"glycine",0.00758792115116404,2.11987719067113,0.0199453927402026
"glycerol",0.0117822485060425,1.92877182155378,0.030110190626553
"trans-aconitic acid",0.0130415556008362,1.88467060273252,0.0324276517642413
"maltose",0.0137065372295337,1.86307224995555,0.0331842480293974
"L-serine",0.016866645438418,1.77297128447969,0.0397879841111398
"dehydroascorbic acid",0.0213439747148968,1.67072470224946,0.0490911418442626
"stearic acid",0.0303280025383489,1.51815619223267,0.0680530788665391
"arachidic acid",0.036888580256183,1.43310805929666,0.080803556751639
"spermidine",0.0476162367964367,1.32224493071028,0.101876599657492
"serotonin",0.0489521800211912,1.31022796269451,0.102354558226127
"xylose",0.0511670811163875,1.29100935713777,0.104608254726837
"benzoquinone",0.0593129559861549,1.22685043144659,0.11862591197231
"myo-inositol",0.0626152181625822,1.20332010192032,0.122565958956544
"L-lysine",0.0756969930047438,1.12092137211664,0.145085903259092
"pantothenic acid",0.079824595247059,1.09786327488579,0.149874750259784
"fructose",0.101020704435748,0.99558960739869,0.185878096161776
"4-hydroxy-3-methoxybenzoic acid",0.117572716750693,0.929693446451354,0.211086670291492
"Trehalose",0.121604254843851,0.91505122915146,0.211086670291492
"beta-gentiobiose",0.121604277450534,0.915051148414509,0.211086670291492
"3,4 dihydroxyphenylalanine (DOPA)",0.126237023447743,0.898813254276137,0.212576699477867
"nicotinic acid",0.127083896426985,0.895909478053286,0.212576699477867
"tyrosine",0.141274264236638,0.849936945851336,0.228704999421439
"3,5-dimethoxy-4-hydroxycinnamic acid",0.141697662685022,0.848637313417813,0.228704999421439
"2-hydroxypyridine",0.176626008780726,0.752945344709404,0.280165393238394
"Pyruvic acid",0.219678049467097,0.658213336213643,0.341849851488561
"sedoheptulose anhydride monohydrate",0.225723286054668,0.646423635944875,0.341849851488561
"benzene-1,2,4-triol ",0.227712881746087,0.642612400596979,0.341849851488561
"palmitic acid",0.230377073829247,0.637560742283799,0.341849851488561
"oxalic acid",0.297667789061351,0.526268158264827,0.434689469740385
"glyoxylic acid",0.303005947240485,0.51854884731163,0.435571049158198
"L-alanine",0.31285267887469,0.504660121921829,0.4428068685611
"4-hydroxycinnamic acid",0.334270509265476,0.475901936982744,0.465952831097331
"lactose",0.351120685242289,0.454543584599132,0.482135866302844
"4-hydroxybenzoic acid",0.382977058035642,0.416827241349782,0.518145431459986
"D-mannitol",0.396302202508607,0.401973514002736,0.528402936678143
"ferulic acid",0.451189787301879,0.345640739185697,0.585325434521406
"L-proline",0.451718541858911,0.345132082425683,0.585325434521406
"L-tryptophan",0.487287382263721,0.312214834020277,0.622644988448088
"acetohydroxamic acid",0.496971033819341,0.303668923578592,0.626319659059991
"3-hydroxypyridine",0.523778208951542,0.280852573740034,0.651183719237053
"1,6-anhydro-glucose ",0.55842062702626,0.25303854805282,0.684995969152212
"caffeic acid",0.566788641637944,0.246578861535712,0.6861125661933
"lauric acid",0.609839319081153,0.21478457815122,0.720979777699613
"3,4-dihydroxybenzoic acid ",0.613794404957264,0.211977074697388,0.720979777699613
"L-mimosine",0.623717274860989,0.205012227292612,0.720979777699613
"benzoic acid",0.626938937130098,0.202774756711346,0.720979777699613
"adenine",0.6413551157519,0.192901436773265,0.728452724063887
"heptanoic acid",0.671452436212496,0.172984746095884,0.753336879653044
"D-glucose",0.713493723481888,0.146609842968635,0.790860512775105
"D-mannose",0.726442000248393,0.138799054425289,0.795626952653002
"itaconic acid",0.746437285911344,0.127006674913879,0.799148317484063
"ribose",0.747029948952493,0.126661986666422,0.799148317484063
"elaidic acid",0.800501340581631,0.0966379364408495,0.846507164752989
"arbutin",0.89774783407386,0.0468456339890298,0.93855455380449
"L-Isoleucine",0.989404425138066,0.00462615157367097,0.995973689617404
"L-leucine",0.989725092830788,0.00448541878238247,0.995973689617404
"eicosapentaenoic acid",0.99192378941585,0.00352169388170616,0.995973689617404
"D-saccharic acid",0.995973689617404,0.0017521340711826,0.995973689617404
