"","p.value","-log10","fdr"
"L-lysine",1.61810103173847e-08,7.790994365198,1.48865294919939e-06
"succinic acid",1.8615744871084e-05,4.73011958168951,0.000459816065996781
"shikimic acid",1.98689720693682e-05,4.70182460073865,0.000459816065996781
"maleic acid",1.99920028694252e-05,4.6991436945479,0.000459816065996781
"tyrosine",3.4737571782744e-05,4.4592005427747,0.000639171320802489
"quinic acid",0.000124679100112713,3.90420634095963,0.00191174620172827
"sedoheptulose anhydride monohydrate",0.000364330543953631,3.43850441779334,0.004788344291962
"allantoin",0.000651470437668376,3.18610528685668,0.00666412452884532
"glycerol 1-phosphate",0.000651925225647912,3.18580221400854,0.00666412452884532
"oxalic acid",0.000823366170480481,3.08440698076272,0.00757496876842042
"L-alanine",0.000935825654975234,3.02880505311536,0.00782690547797469
"alpha ketoglutaric acid",0.00130324330341241,2.88497449797471,0.00999153199282846
"pantothenic acid",0.00152415793606824,2.81697002826607,0.0107863484706368
"benzoic acid",0.00188441563277274,2.72482330159005,0.0123833027296495
"aspartic acid",0.00236257268248222,2.62661482192329,0.0144904457858909
"galactinol",0.00515470506331465,2.28779617869071,0.027186758624397
"D-glucose",0.00539287800207068,2.26817940423006,0.027186758624397
"D-mannose",0.00546365498477058,2.26251673299804,0.027186758624397
"D-mannitol",0.00561465667242982,2.25067679502637,0.027186758624397
"D-glucose-6-phosphate",0.00635826577771367,2.19666132238192,0.0292480225774829
"3-hydroxypyridine",0.00671928724561314,2.17267679267746,0.0294368774569718
"1,3-diaminopropane",0.00936070581743775,2.02869140328523,0.0391447697820124
"acetohydroxamic acid",0.0201164477619465,1.69644870619993,0.0759045848021062
"Trehalose",0.0204523647360878,1.6892564709104,0.0759045848021062
"heptanoic acid",0.0207648832571649,1.68267050620648,0.0759045848021062
"glyceric acid",0.021451295704943,1.66854647035516,0.0759045848021062
"lauric acid",0.0226373374963417,1.64517465427901,0.0771346314690161
"4-hydroxybenzoic acid",0.027998766480244,1.55286110160863,0.0905456152376008
"phosphoric acid",0.0285415526292437,1.54452240543398,0.0905456152376008
"beta-gentiobiose",0.0305857088494718,1.51448144991044,0.0930350893930754
"arachidic acid",0.0313487801215797,1.5037793542519,0.0930350893930754
"xylose",0.0408641146837716,1.38865790558203,0.117484329715843
"threonic acid",0.0449571519150978,1.34720120959949,0.120706865615517
"nicotinic acid",0.0453069744685362,1.34383493838341,0.120706865615517
"dehydroascorbic acid",0.0459210901798163,1.33798781021247,0.120706865615517
"1,6-anhydro-glucose ",0.0524925586882977,1.27990225754,0.134147649981205
"gamma-aminobutyric acid (GABA)",0.0620637582256017,1.20716192957006,0.154320696128523
"3,5-dimethoxy-4-hydroxycinnamic acid",0.0650927553489804,1.1864673445661,0.157592986634374
"ribose",0.0704656618192049,1.15202246478732,0.166226689419663
"Beta- alanine",0.0745969452804239,1.12727895637476,0.171572974144975
"2-hydroxypyridine",0.0772398288101514,1.11215869743652,0.173318640256925
"L-proline",0.110636637085388,0.956101033526505,0.242346919329899
"D-malic acid",0.121115708969086,0.916799524271178,0.259131284305952
"L-homoserine",0.124113900442261,0.906179575896117,0.25951088274291
"spermidine",0.129962850013907,0.886180773383213,0.2657018266951
"benzene-1,2,4-triol ",0.140552265310155,0.85216215038545,0.277439572434925
"3,4-dihydroxybenzoic acid ",0.141735433743929,0.848521562909049,0.277439572434925
"L-glutamic acid",0.15870368800153,0.799412980868949,0.304182068669599
"L-valine",0.167795499343236,0.775219692116442,0.314880457364132
"adenine",0.171130683350072,0.766672115444727,0.314880457364132
"fumaric acid",0.178442090901441,0.748502696539826,0.321895536528089
"4-hydroxy-3-methoxybenzoic acid",0.202593675707784,0.69337411597515,0.356622714891777
"benzoquinone",0.205445694448524,0.687302955871281,0.356622714891777
"L-tryptophan",0.215804786990617,0.665938926008289,0.364027968516818
"fructose",0.217625415961141,0.662290385779468,0.364027968516818
"3,4 dihydroxyphenylalanine (DOPA)",0.236385971050649,0.626378301378262,0.38834838101178
"D-saccharic acid",0.268610689400569,0.570876708512764,0.433547077628988
"5,6-dihydrouracil",0.316784311909112,0.499236334090143,0.502485460269627
"ferulic acid",0.340732419519026,0.467586542838392,0.530086940823303
"beta-cyano-L-alanine",0.350350844518956,0.455496831304471,0.530086940823303
"L-mimosine",0.351470689024147,0.454110887218414,0.530086940823303
"capric acid",0.360537257574368,0.443049849050305,0.5349907693039
