"","p.value","-log10","fdr"
"phosphoric acid",0.000290292963649169,3.53716349081446,0.0267069526557236
"Trehalose",0.0086425416951103,2.06335851656859,0.301077717879513
"galactinol",0.013580337170204,1.86708944733525,0.301077717879513
"L-tryptophan",0.0145183896714616,1.83808155137573,0.301077717879513
"glyceric acid",0.0195070967594664,1.70980736182874,0.301077717879513
"myristic acid",0.0209747821967057,1.67830254021368,0.301077717879513
"L-lysine",0.0229080872299629,1.64001117183864,0.301077717879513
"shikimic acid",0.0277367649227237,1.55694419424115,0.318972796611323
"citric acid",0.0474118464596166,1.32411313070494,0.442677930046435
"xylose",0.0481171663093951,1.3176999568191,0.442677930046435
"itaconic acid",0.0670860284754062,1.17336791780172,0.456076061386308
"tyrosine",0.0693332052594152,1.15905872199508,0.456076061386308
"alpha ketoglutaric acid",0.0693454810772815,1.15898183462162,0.456076061386308
"L-proline",0.0776828722721704,1.1096747250556,0.456076061386308
"glycerol 1-phosphate",0.0777985269435528,1.10902862597102,0.456076061386308
"3,4-dihydroxybenzoic acid ",0.0793175758932709,1.10063056718816,0.456076061386308
"1,6-anhydro-glucose ",0.0938102641368995,1.02774964121429,0.4837875494242
"eicosapentaenoic acid",0.0946540857569088,1.02386063491326,0.4837875494242
"fumaric acid",0.133162054648613,0.875619512436438,0.564886796349947
"4-hydroxycinnamic acid",0.139012830752354,0.85694511292736,0.564886796349947
"D-glucose-6-phosphate",0.144847674395606,0.839088473226968,0.564886796349947
"3-hydroxypyridine",0.146936609838722,0.83286998453602,0.564886796349947
"lauric acid",0.151015719115376,0.820977844960066,0.564886796349947
"L-valine",0.153058382975137,0.815142879198679,0.564886796349947
"1,3-diaminopropane",0.153501846834225,0.81388639500707,0.564886796349947
"quinic acid",0.178634639397413,0.748034322376464,0.632091800944694
"heptanoic acid",0.189553548043266,0.722268082083283,0.641596619041899
"acetohydroxamic acid",0.196266598232707,0.707153604819379,0.641596619041899
"maleic acid",0.202242412524077,0.694127762723041,0.641596619041899
"succinic acid",0.210239494434756,0.677285696471814,0.644734449599919
"elaidic acid",0.222602850321853,0.65246927903488,0.660627813858404
"nicotinic acid",0.230779959436577,0.636801907318721,0.663492383380158
"2-hydroxypyridine",0.238297096496928,0.622881249231573,0.664343420536891
"ribose",0.257906770191692,0.588537257248254,0.68540704462101
"4-hydroxybenzoic acid",0.271601640039397,0.566067611939732,0.68540704462101
"benzene-1,2,4-triol ",0.273065205360937,0.563733635204286,0.68540704462101
"threonic acid",0.275652833162798,0.559637539478396,0.68540704462101
"Antiarol",0.294027803753738,0.531611600043999,0.711856788035367
"Beta- alanine",0.325811017827199,0.487034233407963,0.740846142496605
"sedoheptulose anhydride monohydrate",0.330717617507451,0.480542669366684,0.740846142496605
"5,6-dihydrouracil",0.341057820768147,0.467171987248484,0.740846142496605
"maltose",0.34510036560608,0.462054580608197,0.740846142496605
"arachidic acid",0.351455259886968,0.454129952638175,0.740846142496605
"capric acid",0.356519425261537,0.44791680226636,0.740846142496605
"arbutin",0.365434846224813,0.437190042638664,0.740846142496605
"Sucrose",0.382567376959618,0.417292066745954,0.740846142496605
"D-saccharic acid",0.387000201573556,0.412288808773698,0.740846142496605
"glycine",0.392214428644575,0.406476433703782,0.740846142496605
"ethanolamine",0.39673315434016,0.401501504730472,0.740846142496605
"glyoxylic acid",0.403969346409188,0.393651588331022,0.740846142496605
"dehydroascorbic acid",0.412534130354085,0.384540114965536,0.740846142496605
"L-Isoleucine",0.43252955613457,0.363984210447548,0.740846142496605
"L-leucine",0.43584911035853,0.360663836145623,0.740846142496605
"Pyruvic acid",0.441244421148782,0.355320772549426,0.740846142496605
"fructose",0.443562843100263,0.353044841495815,0.740846142496605
"L-asparagine",0.450949825867499,0.345871776439261,0.740846142496605
"pantothenic acid",0.460419054043218,0.336846711769881,0.740955842635762
"3,5-dimethoxy-4-hydroxycinnamic acid",0.469395910706966,0.328460698216624,0.740955842635762
"spermidine",0.477091015965298,0.321398761503183,0.740955842635762
"L-homoserine",0.483232071284193,0.315844250050127,0.740955842635762
"gamma-aminobutyric acid (GABA)",0.515276451787942,0.287959704409168,0.777138255155585
"L-serine",0.543618542387185,0.264705738254672,0.777287551791641
"caffeic acid",0.546320850802379,0.262552223948879,0.777287551791641
"stearic acid",0.550744616883235,0.25904973906023,0.777287551791641
"oxalic acid",0.555468992820164,0.255340179068656,0.777287551791641
"aspartic acid",0.557619330633134,0.253662179239701,0.777287551791641
"L-alanine",0.585986660475433,0.232112270241039,0.796875063837995
"myo-inositol",0.590367767690737,0.228877361713772,0.796875063837995
"lactose",0.597656297878497,0.223548499702736,0.796875063837995
