"","p.value","-log10","fdr"
"gamma-aminobutyric acid (GABA)",1.41183574712721e-07,6.85021582613523,1.29888888735704e-05
"L-valine",1.8219272980005e-06,5.7394689570596,6.93905023199079e-05
"allantoin",2.26273377130134e-06,5.64536654125357,6.93905023199079e-05
"L-threonine",3.81362548181568e-06,5.41866195921009,8.77133860817605e-05
"aspartic acid",5.0216490308673e-06,5.29915364392976,9.23983421679583e-05
"5,6-dihydrouracil",6.46359424253468e-06,5.18952591457245,9.91084450521984e-05
"L-asparagine",1.29084725559597e-05,4.88912514423737,0.000169654210735471
"capric acid",1.50000710474508e-05,4.8239066839148,0.000172500817045685
"L-serine",2.70976805779218e-05,4.56706788090858,0.000252697049620786
"L-glutamic acid",2.94490903490188e-05,4.53092811556289,0.000252697049620786
"Beta- alanine",3.02137776720505e-05,4.51979497086849,0.000252697049620786
"beta-cyano-L-alanine",5.19299990913973e-05,4.28458168500366,0.000398129993034046
"L-glutamine",6.15679280058601e-05,4.21064546181802,0.00043571149050301
"maleic acid",9.13766323579055e-05,4.03916485170086,0.000562040282762142
"succinic acid",9.16370026242622e-05,4.03792912468814,0.000562040282762142
"1,3-diaminopropane",0.000142198935151525,3.8471036557831,0.000817643877121268
"threonic acid",0.0002323305239983,3.63389372806819,0.00125731812987315
"L-alanine",0.000586992644438597,3.23136734083031,0.00300018462713061
"oxalic acid",0.000642012337939433,3.1924566257512,0.00310869132054883
"citric acid",0.000753681344020449,3.12281223474712,0.00346693418249407
"3,5-dimethoxy-4-hydroxycinnamic acid",0.000905890400758326,3.04292434230675,0.00396866270808409
"adenosine",0.00114848361793649,2.9398751952365,0.00480274967500714
"spermidine",0.00173545334069764,2.76058705825298,0.00694181336279056
"Antiarol",0.00192250629756189,2.71613222890396,0.00736960747398726
"dehydroascorbic acid",0.00241353504204235,2.61734639129105,0.00888180895471586
"arachidic acid",0.00308312754716041,2.51100850839638,0.010867346093973
"myristic acid",0.00318932983192685,2.49630056486536,0.010867346093973
"elaidic acid",0.0034316485545336,2.46449719595217,0.0112754166791818
"itaconic acid",0.00432727764963207,2.36378523841935,0.013727915302281
"shikimic acid",0.00454191248334519,2.34276123831673,0.0139285316155919
"quinic acid",0.00476413318375564,2.32201610609739,0.0141387178356619
"L-proline",0.00722701894528129,2.14104080679848,0.0207776794676837
"caffeic acid",0.00866220108233854,2.0623717388772,0.0241491666537923
"glyceric acid",0.00941839604491755,2.02602305136347,0.0254850716509534
"D-malic acid",0.0144461682313807,1.84024733191413,0.0365025898804686
"L-homoserine",0.0146165694800907,1.83515454466189,0.0365025898804686
"L-tryptophan",0.0146803894084493,1.83326242427705,0.0365025898804686
"benzoquinone",0.0196774327224467,1.7060315637911,0.0476401002753973
"myo-inositol",0.0233070371555225,1.63251293148976,0.0549807030335402
"alpha ketoglutaric acid",0.0289787132667222,1.53792090228681,0.0666510405134611
"glycine",0.031892043185214,1.49631765649742,0.0715626334887729
"ethanolamine",0.0329122462096314,1.482642476771,0.0720934916972879
"serotonin",0.035396106097661,1.45104451179664,0.0757312037438328
"Sucrose",0.0538521793672249,1.26879671635843,0.112600011404198
"benzoic acid",0.0682136179887284,1.16612891527064,0.139458952332511
"3,4 dihydroxyphenylalanine (DOPA)",0.0775845965909003,1.11022449368509,0.152543035443176
"fumaric acid",0.0779295941937964,1.10829758527569,0.152543035443176
"lactose",0.0935668518250906,1.02887798266375,0.17933646599809
"D-glucose-6-phosphate",0.105373981827399,0.97726660870294,0.190739001047161
"L-leucine",0.105572468275648,0.976449324557086,0.190739001047161
"L-Isoleucine",0.105735750580491,0.97577814746342,0.190739001047161
"galactinol",0.120402570103861,0.919364242563146,0.213019931722216
"eicosapentaenoic acid",0.123462085673965,0.908466390668414,0.214311544943486
"lauric acid",0.151520922460339,0.819527394345187,0.258146756784282
"3,4-dihydroxybenzoic acid ",0.170382335004094,0.768575434263758,0.28178940249744
"ferulic acid",0.171523984128876,0.765675144154472,0.28178940249744
"stearic acid",0.181518111119033,0.741080036376366,0.29297660040265
"pelargonic acid (nonanoic acid)",0.186749141610165,0.728741385736528,0.296222776347158
"4-hydroxybenzoic acid",0.251194127236111,0.599990518353492,0.391692537385122
"glycerol",0.288575442548983,0.539740629650184,0.442482345241773
"4-hydroxy-3-methoxybenzoic acid",0.310901457361231,0.507377242181776,0.468900558643168
"4-hydroxycinnamic acid",0.330925797102008,0.480269376380922,0.491051182796528
"Pyruvic acid",0.349350436198737,0.45673871014948,0.510162541750536
"fructose",0.371798298078663,0.429692602559648,0.528958703587512
"L-lysine",0.37628235783613,0.424486143290634,0.528958703587512
"palmitic acid",0.388527778103973,0.410577925522,0.528958703587512
"phosphoric acid",0.389527777965225,0.40946156652323,0.528958703587512
"heptanoic acid",0.390969476564683,0.407857147148827,0.528958703587512
"glycerol 1-phosphate",0.409692709263968,0.387541764517937,0.540530635702039
"trans-aconitic acid",0.411273309773291,0.385869473798129,0.540530635702039
"adenine",0.425252870622601,0.371352746048498,0.551031888694074
"xylose",0.431686315468754,0.3648317183361,0.551599180876742
"L-mimosine",0.439504751283307,0.357036425607346,0.553896398877592
"Trehalose",0.490579558005692,0.309290552400099,0.609909720763833
"acetohydroxamic acid",0.500502937381306,0.300593369363985,0.613950269854402
"D-saccharic acid",0.516463240429897,0.286960584205503,0.625192343678296
"beta-gentiobiose",0.528710672256537,0.276781923082038,0.625708596728062
"1,6-anhydro-glucose ",0.530492071139009,0.275321102783016,0.625708596728062
"pantothenic acid",0.538473889753703,0.268835350510488,0.627083517181527
"benzene-1,2,4-triol ",0.555747228262244,0.255122694627019,0.63910931250158
"2-hydroxypyridine",0.570539999718604,0.243713902432265,0.64802074042113
"D-mannose",0.656969739516463,0.182454633885697,0.730381329720168
"D-glucose",0.658930982247543,0.181160071898798,0.730381329720168
"D-mannitol",0.668121947451474,0.175144261668676,0.731752609113519
"ribose",0.804227408802856,0.0946211298292369,0.870457901292503
"sedoheptulose anhydride monohydrate",0.831014063807989,0.080391626297092,0.882865793616381
"tyrosine",0.834883957006795,0.0783738841976584,0.882865793616381
"glyoxylic acid",0.858984680154514,0.0660145816678125,0.898029438343356
"arbutin",0.918296385825231,0.0370171249493076,0.949250196583385
"nicotinic acid",0.939533037364038,0.0270879439374495,0.960411549305461
"3-hydroxypyridine",0.965616944671303,0.0151951218329561,0.976228119887471
"maltose",0.995949608178774,0.00176263491318341,0.995949608178774
