"","p.value","-log10","fdr"
"3,5-dimethoxy-4-hydroxycinnamic acid",3.80382540259633e-06,5.41977942560139,0.000349951937038862
"5,6-dihydrouracil",1.35137372453259e-05,4.86922452954412,0.000535082993558909
"D-glucose-6-phosphate",2.3573294984625e-05,4.62757970921829,0.000535082993558909
"Trehalose",3.07786989453717e-05,4.51174974229493,0.000535082993558909
"capric acid",3.85782264742357e-05,4.41365774170399,0.000535082993558909
"L-asparagine",3.97838433200257e-05,4.40029326414639,0.000535082993558909
"beta-gentiobiose",4.07128364664387e-05,4.39026863923668,0.000535082993558909
"beta-cyano-L-alanine",0.000135429117720413,3.86828795082242,0.00155743485378476
"glycerol 1-phosphate",0.000221555780282093,3.65451691495365,0.0022647924206614
"L-threonine",0.000292777878198136,3.53346174093137,0.00247853400518104
"aspartic acid",0.000296346457141212,3.52820026043853,0.00247853400518104
"L-valine",0.000419523909176809,3.37724328316028,0.00321634997035554
"L-glutamine",0.000454654031136498,3.34231895393868,0.00321755160496598
"L-serine",0.000686771518327118,3.16318772412535,0.0045130699775782
"1,3-diaminopropane",0.00090554006833844,3.04309232826181,0.0055539790858091
"adenosine",0.00118163138376973,2.92751798281373,0.00679438045667596
"citric acid",0.00222410745628954,2.65284423393071,0.0120363462340375
"maltose",0.00244813801932304,2.61116410150168,0.0125127054320956
"myo-inositol",0.00287052678096484,2.54203839696881,0.0138993928341456
"glycine",0.00356802334665337,2.44757231256678,0.0156494734021081
"ethanolamine",0.00357216240700294,2.44706880430146,0.0156494734021081
"phosphoric acid",0.00431996693353317,2.36451957740709,0.0180653162675024
"L-glutamic acid",0.00493826933422403,2.30642522724786,0.0197530773368961
"myristic acid",0.00545963700794867,2.26283623104717,0.0201539846963813
"caffeic acid",0.00548567237296213,2.26077013381927,0.0201539846963813
"Beta- alanine",0.0056956913272382,2.24445355492415,0.0201539846963813
"glyceric acid",0.00807057982482864,2.09309526259173,0.0274997534771939
"alpha ketoglutaric acid",0.0110532759504839,1.95650898746623,0.0360858256569743
"itaconic acid",0.0113748798266549,1.94405318288152,0.0360858256569743
"threonic acid",0.0121997006234956,1.91365082663338,0.0374124152453865
"D-saccharic acid",0.0140688676583808,1.85174085562186,0.041485716773707
"4-hydroxycinnamic acid",0.014429814529985,1.84073925096622,0.041485716773707
"succinic acid",0.0236476307425675,1.62621236473475,0.0659267281307942
"maleic acid",0.0248980517523174,1.60383463468422,0.0673711988592119
"L-mimosine",0.0272183836999639,1.56513766792872,0.0707290633825784
"spermidine",0.0276765900192698,1.55788741952751,0.0707290633825784
"benzoquinone",0.0485185686685277,1.31409201960532,0.120640765337961
"arachidic acid",0.0662624050968514,1.1787328047756,0.160424770234482
"pelargonic acid (nonanoic acid)",0.0899994292168417,1.04576024488025,0.212306345844857
"serotonin",0.109509750686872,0.960547209764763,0.249898120465809
"Antiarol",0.111367640642371,0.953240980903521,0.249898120465809
"Sucrose",0.121441494139549,0.915632898130334,0.266014701448536
"trans-aconitic acid",0.12555798766744,0.901155653404698,0.268635694544289
"L-leucine",0.133651187587572,0.874027177869374,0.273592652665958
"L-Isoleucine",0.133822493151827,0.873470883349168,0.273592652665958
"elaidic acid",0.160490819668778,0.794549804886648,0.320981639337556
"L-proline",0.18706357104584,0.728010779224532,0.363953623220958
"adenine",0.191918693616948,0.71688272125574,0.363953623220958
"glycerol",0.193844864541597,0.712545700103195,0.363953623220958
"quinic acid",0.235334503265359,0.628314394629219,0.43301548600826
"pantothenic acid",0.2703132317382,0.568132695217885,0.48152969967793
"stearic acid",0.272168960687525,0.565161405109064,0.48152969967793
"L-homoserine",0.306976045752555,0.512895512481671,0.526455878994471
"nicotinic acid",0.309006711583711,0.510032087655696,0.526455878994471
"2-hydroxypyridine",0.325468830001805,0.487490597284454,0.544420588366656
"palmitic acid",0.39149891870042,0.407269433103073,0.63725883401832
"3,4-dihydroxybenzoic acid ",0.396518753019826,0.401736268269614,0.63725883401832
"galactinol",0.401750134489811,0.396043969180242,0.63725883401832
"benzene-1,2,4-triol ",0.409824791013,0.387401773913118,0.639048826664339
"allantoin",0.445839345286477,0.350821607711319,0.683156424748594
"shikimic acid",0.462160962269052,0.335206741217673,0.683156424748594
"D-mannitol",0.472525572471797,0.325574683064001,0.683156424748594
"D-mannose",0.474568364409944,0.323701216013585,0.683156424748594
"3-hydroxypyridine",0.4818449307586,0.317092705643771,0.683156424748594
"4-hydroxybenzoic acid",0.482664865311507,0.3163543136874,0.683156424748594
"acetohydroxamic acid",0.491144915589994,0.308790347479245,0.684212700085306
"lactose",0.50560417106184,0.29618935192965,0.684212700085306
"D-glucose",0.505722430497835,0.296087783513194,0.684212700085306
"fructose",0.54292797540349,0.265257779913035,0.723903967204653
"sedoheptulose anhydride monohydrate",0.551905366087256,0.258135383338695,0.725361338286107
"L-alanine",0.566986355210012,0.246427392479761,0.729940114861106
"heptanoic acid",0.571257481195648,0.243168099358482,0.729940114861106
"oxalic acid",0.58155034408356,0.235412682979758,0.732912762406678
"L-tryptophan",0.646836322712077,0.189205600530474,0.801757004334769
"Pyruvic acid",0.653606253533779,0.184683801239686,0.801757004334769
"ferulic acid",0.688297888116588,0.162223562976732,0.833202706667449
"tyrosine",0.708279494567587,0.149795331299246,0.846256019483351
"arbutin",0.737013649436672,0.132524468965731,0.869298150617614
"1,6-anhydro-glucose ",0.746569397941011,0.126929815880029,0.869422590007253
"eicosapentaenoic acid",0.763117867883461,0.117408377617947,0.87758554806598
"lauric acid",0.818124203411691,0.0871807589672934,0.900064367655476
"xylose",0.828910677427376,0.0814922660606242,0.900064367655476
"3,4 dihydroxyphenylalanine (DOPA)",0.837597295348063,0.0769647336898973,0.900064367655476
"dehydroascorbic acid",0.838313248070462,0.0765936705245297,0.900064367655476
"D-malic acid",0.841892631672146,0.0747432914523323,0.900064367655476
"ribose",0.84628448554404,0.0724836207276813,0.900064367655476
"fumaric acid",0.85403021370199,0.068526764660009,0.900064367655476
"gamma-aminobutyric acid (GABA)",0.860931134279151,0.0650315862916334,0.900064367655476
"4-hydroxy-3-methoxybenzoic acid",0.958397768824456,0.0184542060027133,0.976195791774211
"benzoic acid",0.961081798120692,0.0172396477522126,0.976195791774211
"L-lysine",0.972977867845469,0.0118970384386412,0.976195791774211
"glyoxylic acid",0.976195791774211,0.0104630688503416,0.976195791774211
