sorghum3,Pv1_jcvi
Sobic.001G000100,Pavagv11000002m
Sobic.001G000200,Pavagv11000004m
Sobic.001G000400,Pavagv11000009m
Sobic.001G000300,No Gene
Sobic.001G000501,No Gene
Sobic.001G000700,Pavagv11000012m
Sobic.001G000800,Pavagv11000014m
Sobic.001G000900,Pavagv11000015m
Sobic.001G001000,Pavagv11000016m
Sobic.001G001066,No Gene
Sobic.001G001132,No Gene
Sobic.001G001200,Pavagv11000017m
Sobic.001G001300,Pavagv11000019m
Sobic.001G001400,Pavagv11000022m
Sobic.001G001700,No Gene
Sobic.001G001800,Pavagv11000026m
Sobic.001G001900,Pavagv11000027m
Sobic.001G002000,No Gene
Sobic.001G002050,No Gene
Sobic.001G002100,No Gene
Sobic.001G002200,Pavagv11000028m
Sobic.001G002300,No Gene
Sobic.001G002400,No Gene
Sobic.001G002500,Pavagv11000030m
Sobic.001G002600,No Gene
Sobic.001G002650,No Gene
Sobic.001G002700,Pavagv11000035m
Sobic.001G002800,Pavagv11000039m
Sobic.001G002900,No Gene
Sobic.001G003000,No Gene
Sobic.001G003100,Pavagv11000040m
Sobic.001G003200,Pavagv11000043m
Sobic.001G003300,Pavagv11000044m
Sobic.001G003400,No Gene
Sobic.001G003500,Pavagv11000047m
Sobic.001G003600,Pavagv11000048m
Sobic.001G003700,Pavagv11000049m
Sobic.001G003900,No Gene
Sobic.001G004000,Pavagv11000052m
Sobic.001G004100,Pavagv11000053m
Sobic.001G004200,No Gene
Sobic.001G004300,Pavagv11000055m
Sobic.001G004400,Pavagv11000056m
Sobic.001G004500,No Gene
Sobic.001G004550,No Gene
Sobic.001G004600,No Gene
Sobic.001G004700,Pavagv11000059m
Sobic.001G004800,Pavagv11000061m
Sobic.001G004901,No Gene
Sobic.001G005000,Pavagv11000062m
Sobic.001G005100,No Gene
Sobic.001G005200,Pavagv11000063m
Sobic.001G005300,Pavagv11000066m
Sobic.001G005400,No Gene
Sobic.001G005500,Pavagv11000068m
Sobic.001G005600,Pavagv11000069m
Sobic.001G005700,Pavagv11000070m
Sobic.001G005800,Pavagv11000071m
Sobic.001G005900,Pavagv11000075m
Sobic.001G006000,Pavagv11000076m
Sobic.001G006101,Pavagv11000077m
Sobic.001G006201,No Gene
Sobic.001G006300,No Gene
Sobic.001G006400,Pavagv11000081m
Sobic.001G006500,Pavagv11000082m
Sobic.001G006600,Pavagv11000083m
Sobic.001G006700,Pavagv11000087m
Sobic.001G006800,No Gene
Sobic.001G006900,Pavagv11000092m
Sobic.001G007000,No Gene
Sobic.001G007100,No Gene
Sobic.001G007200,Pavagv11000093m
Sobic.001G007300,Pavagv11000095m
Sobic.001G007400,Pavagv11000096m
Sobic.001G007500,Pavagv11000097m
Sobic.001G007600,Pavagv11000098m
Sobic.001G007700,Pavagv11000099m
Sobic.001G007800,No Gene
Sobic.001G007900,Pavagv11000100m
Sobic.001G008000,No Gene
Sobic.001G008100,Pavagv11000102m
Sobic.001G008200,Pavagv11000103m
Sobic.001G008300,Pavagv11000115m
Sobic.001G008400,Pavagv11000117m
Sobic.001G008500,Pavagv11000120m
Sobic.001G008600,Pavagv11000121m
Sobic.001G008700,Pavagv11000123m
Sobic.001G008800,Pavagv11000125m
Sobic.001G008900,Pavagv11000127m
Sobic.001G009000,Pavagv11000128m
Sobic.001G009100,No Gene
Sobic.001G009200,Pavagv11000130m
Sobic.001G009300,Pavagv11000131m
Sobic.001G009400,Pavagv11000133m
Sobic.001G009500,Pavagv11000134m
Sobic.001G009600,Pavagv11000135m
Sobic.001G009700,No Gene
Sobic.001G009800,Pavagv11000136m
Sobic.001G009900,Pavagv11000137m
Sobic.001G010000,Pavagv11000139m
Sobic.001G010100,Pavagv11000140m
Sobic.001G010200,Pavagv11000141m
Sobic.001G010300,Pavagv11000142m
Sobic.001G010400,Pavagv11000143m
Sobic.001G010500,Pavagv11000144m
Sobic.001G010600,Pavagv11000145m
Sobic.001G010700,Pavagv11000146m
Sobic.001G010800,No Gene
Sobic.001G010900,Pavagv11000147m
Sobic.001G011000,Pavagv11000148m
Sobic.001G011100,Pavagv11000151m
Sobic.001G011200,Pavagv11000152m
Sobic.001G011300,Pavagv11000158m
Sobic.001G011400,Pavagv11000160m
Sobic.001G011600,Pavagv11000161m
Sobic.001G011700,Pavagv11000162m
Sobic.001G011800,Pavagv11000164m
Sobic.001G012000,Pavagv11000168m
Sobic.001G012100,Pavagv11000169m
Sobic.001G012200,Pavagv11000171m
Sobic.001G012300,No Gene
Sobic.001G012400,No Gene
Sobic.001G012500,No Gene
Sobic.001G012600,No Gene
Sobic.001G012700,Pavagv11000172m
Sobic.001G012800,Pavagv11000173m
Sobic.001G012900,Pavagv11000174m
Sobic.001G013000,Pavagv11000175m
Sobic.001G013100,Pavagv11000176m
Sobic.001G013200,Pavagv11000177m
Sobic.001G013300,No Gene
Sobic.001G013400,Pavagv11000178m
Sobic.001G013500,No Gene
Sobic.001G013600,No Gene
Sobic.001G013701,No Gene
Sobic.001G013800,Pavagv11000179m
Sobic.001G013900,Pavagv11000181m
Sobic.001G014000,Pavagv11000184m
Sobic.001G014100,Pavagv11000186m
